merged_label	skin150	skin154	skin155	skin165	skin169	skin170	skin173	skin194	skin195	skin198	skin199	skin204	skin207	skin211	skin222	skin230	skin231	skin232	skin233	skin235	skin236	skin239	skin242	skin244	skin248	skin252	skin253	skin257	skin264	skin266	skin269	skin276	skin277	skin279	skin285	skin286	skin289	skin290	skin292	skin296	skin304	skin305
0 Tmm:Tcm?	0.01606248157972296	0.04413498379015621	0.02954612437371058	0.020925434718538166	0.0215148835838491	0.03087238432066018	0.008694370763336281	0.011052166224580018	0.0219569702328323	0.03706159740642499	0.04332449160035367	0.04649277925139994	0.05083996463306808	0.019820218096080165	0.03205128205128205	0.03065134099616858	0.01606248157972296	0.023946360153256706	0.0039050987326849397	0.009062776304155614	0.018862363689949896	0.03389330975537872	0.02313586796345417	0.034630120837017386	0.03183023872679045	0.020704391394046565	0.007810197465369879	0.0614500442086649	0.004641909814323607	0.03404067197170645	0.0019157088122605363	0.018125552608311227	0.01989389920424403	0.027188328912466843	0.0036103743000294726	0.024388446802239904	0.0022841143530798703	0.03743000294724433	0.03713527851458886	0.012894193928676688	0.0075891541408782785	0.01856763925729443
1 Tcm	0.004730368968779565	0.0033900977609586883	0.03744875433617156	0.009618416903185115	0.014900662251655629	0.018133081046988332	0.0021286660359508044	0.004966887417218543	0.025780510879848628	0.014900662251655629	0.03098391674550615	0.06149479659413434	0.06204667297382529	0.04217912330495112	0.039577420372122356	0.03776411226742352	0.009933774834437087	0.010485651214128035	0.004178492589088615	0.002601702932828761	0.03405865657521287	0.0663040050457269	0.02097130242825607	0.06583096814884894	0.03508356985178177	0.016240933459476505	0.008987701040681173	0.027672658467360455	0.003863134657836645	0.023336486912645855	0.0010249132765689057	0.013166193629769788	0.025701671397035636	0.042021444339325136	0.003232418795332703	0.01608325449385052	3.9419741406496373e-4	0.07292652160201829	0.058341217281614635	0.005518763796909493	0.006070640176600441	0.015925575528224534
2 Treg1	0.011989342806394316	0.01669626998223801	0.03259325044404973	0.027708703374777974	0.007193605683836589	0.029928952042628774	0.003197158081705151	0.012788632326820605	0.011012433392539964	0.0433392539964476	0.04156305506216696	0.02788632326820604	0.015719360568383658	0.02788632326820604	0.015719360568383658	0.03374777975133215	0.026287744227353464	0.027531083481349913	0.0021314387211367673	0.007104795737122558	0.04413854351687389	0.012078152753108348	0.016873889875666074	0.04236234458259325	0.004529307282415631	0.04422735346358792	0.016341030195381884	0.060923623445825935	0.003285968028419183	0.053730017761989345	0.002930728241563055	0.0283303730017762	0.03836589698046181	0.05150976909413854	0.0015097690941385435	0.02433392539964476	0.0011545293072824157	0.049644760213143874	0.04467140319715808	0.014564831261101243	0.004174067495559502	0.018294849023090587
Trm_merge	0.010898477907492241	0.03158711393527412	0.007241022609723659	0.0500591103886508	0.009383774198315355	0.04078616816905571	0.06007093246638097	0.051721590069454704	0.00450716713462391	0.024789419240431505	0.022240283729865525	0.003472735333234816	0.0024013595389389686	0.005578542928919758	0.015885916949903947	0.02264666765183981	0.023163883552534358	0.02999852224028373	0.002253583567311955	0.013152061474804197	0.04281808777892715	0.00428550317718339	0.0074996305600709325	0.015294813063395892	0.0013669277375498745	0.07285355401211763	0.028927146445987883	0.04492389537461209	0.004544111127530663	0.029148810403428402	0.004913551056598197	0.029185754396335157	0.020023644155460322	0.02209250775823851	0.0021796955814984485	0.017991724545588887	0.1219890645780996	0.02065169203487513	0.023274715531254618	0.024235259346830205	0.0053199349785724845	0.024641643268804494
4 Treg2	0.003592220983525331	0.012139229530533879	0.00929022668153103	0.023535240926545273	0.008670878236095627	0.045955654651306826	0.0029728725380899295	0.01622692927040753	0.007679920723398985	0.03505512201164375	0.029976464759073455	0.017217886783104173	0.021553325901151988	0.023782980304719436	0.01944754118667162	0.04756596060943887	0.02489780750650316	0.03369255543168587	0.0021057847144803667	0.012139229530533879	0.06849993806515546	0.01882819274123622	0.011767620463272637	0.036293818902514555	0.009785705437879351	0.05128205128205128	0.017713365539452495	0.04731822123126471	0.004459308807134894	0.06416449894710764	0.0021057847144803667	0.03394029480986003	0.029109376935463893	0.043230521491391054	0.004211569428960733	0.017217886783104173	0.004707048185309055	0.04434534869317478	0.05066270283661588	0.022792022792022793	0.004211569428960733	0.01585532020314629
5 Tet?	0.02045520023048113	0.10890233362143474	0.022039757994814176	0.007058484586574474	0.029530394698934023	0.037165082108902334	0.003457216940363008	0.009363295880149813	0.03514837222702391	0.018582541054451167	0.02045520023048113	0.06078939786804955	0.045808124459809856	0.05286660904638433	0.027513684817055604	0.04235090751944685	0.007346585998271392	0.009363295880149813	0.0011524056467876692	0.013540766349755113	0.022183808700662635	0.040334197637568424	0.03125900316911553	0.07649092480553155	0.06266205704407951	0.009363295880149813	0.0023048112935753384	0.012388360702967444	0.0011524056467876692	0.02247191011235955	5.762028233938346e-4	0.016709881878421203	0.007346585998271392	0.03385191587438779	0.002016709881878421	0.019734946701238838	0.0012964563526361278	0.01584557764333045	0.03457216940363008	0.00979544799769519	0.001728608470181504	0.003025064822817632
6 CTL:NK?	0.026282853566958697	0.01032540675844806	0.028942428035043804	0.01877346683354193	0.016426783479349186	0.016426783479349186	0.010638297872340425	0.04333541927409262	0.007822277847309137	0.0217459324155194	0.029411764705882353	0.02581351689612015	0.025969962453066334	0.05819774718397998	0.05725907384230288	0.045682102628285357	0.00688360450563204	0.013141426783479349	0.009073842302878598	0.011264080100125156	0.025969962453066334	0.03410513141426783	0.008135168961201502	0.03488735919899875	0.012515644555694618	0.02800375469336671	0.009386733416770964	0.023779724655819776	0.0031289111389236545	0.02925531914893617	0.002816020025031289	0.012828535669586983	0.05115769712140175	0.03035043804755945	0.008917396745932416	0.012984981226533167	0.03879849812265332	0.06680225281602002	0.047090112640801	0.013297872340425532	0.010012515644555695	0.012359198998748435
7 CTLact:NK?	0.10061969993476842	0.008480104370515329	0.03897586431833007	0.0045662100456621	0.03359425962165688	0.0776255707762557	0.0016307893020221786	0.021200260926288322	0.0365296803652968	0.010437051532941943	0.03538812785388128	0.038649706457925634	0.09197651663405088	0.018101761252446183	0.09621656881930854	0.01744944553163731	0.005055446836268754	0.008969341161121983	0.0032615786040443573	0.007175472928897586	0.009458577951728636	0.0629484670580561	0.017775603392041747	0.03489889106327462	0.0228310502283105	0.013535551206784083	0.011578604044357468	0.02217873450750163	0.00228310502283105	0.01223091976516634	0.0030984996738421394	0.003424657534246575	0.019406392694063926	0.015492498369210697	0.006360078277886497	0.021689497716894976	0.001304631441617743	0.020221787345075015	0.01304631441617743	0.009295499021526418	0.004403131115459882	0.016634050880626222
8 CTLex:NK?	0.035821894877803816	0.015065282892534315	0.023434884499497825	0.042852360227653166	0.016237027117509205	0.014395714763977234	0.006193505189152996	0.04787412119183127	0.01858051556745899	0.03046534984934717	0.02259792433880147	0.012889186474723802	0.02912621359223301	0.035319718781386004	0.03866755942417141	0.028958821560093738	0.004686976899899564	0.01958486776029461	0.016237027117509205	0.01021091396049548	0.026782725142283227	0.016404419149648478	0.0077000334784064275	0.053230666220287916	0.012219618346166722	0.02979578172079009	0.011884834281888182	0.04636759290257784	0.0050217609641781055	0.01958486776029461	0.0050217609641781055	0.013223970539002344	0.05071978573819886	0.0493806494810847	0.0050217609641781055	0.020756611985269503	0.004519584867760294	0.04820890525610981	0.06277201205222631	0.021426180113826583	0.008704385671242048	0.012052226314027453
9 Treg-c	0.009256142712891283	0.024234264557388085	0.01985863345674857	0.027768428138673848	0.002524402558061259	0.043756311006395154	0.0038707505890272637	0.032648939750925615	0.0031975765735442613	0.029787950185122855	0.05419050824638169	0.004712218108381017	0.003365870077415012	0.035509929316728375	0.026085493099966342	0.057724671827667454	0.023729384045775834	0.024570851565129587	6.731740154830024e-4	0.006058566139347021	0.07068327162571525	0.003702457085156513	0.007068327162571525	0.038370918882531135	3.365870077415012e-4	0.04779535509929317	0.024402558061258836	0.038034331874789634	0.002019522046449007	0.04779535509929317	0.0031975765735442613	0.03736115785930663	0.03635139683608213	0.052170986199932684	5.048805116122518e-4	0.014641534836755302	0.005217098619993268	0.0429148434870414	0.06462470548636823	0.019017165937394817	0.0018512285425782565	0.00841467519353753
