merged_label	skin150	skin154	skin155	skin165	skin169	skin170	skin173	skin194	skin195	skin198	skin199	skin204	skin207	skin211	skin222	skin230	skin231	skin232	skin233	skin235	skin236	skin239	skin242	skin244	skin248	skin252	skin253	skin257	skin264	skin266	skin269	skin276	skin277	skin279	skin285	skin286	skin289	skin290	skin292	skin296	skin304	skin305
0 Tmm:Tcm?	0.05382716049382716	0.12404224477117416	0.07408091631258082	0.06453078845716882	0.07518022657054584	0.07940117490998673	0.047332531087043724	0.03870967741935484	0.09155145929339478	0.12854587273191925	0.1203684749232344	0.1221447928765002	0.1404437207408915	0.06427718040621266	0.08453167508744656	0.07171177383209791	0.0807108478341355	0.089828634604754	0.06029579067121729	0.04156809733017911	0.04486505432877673	0.07431340872374798	0.11849056603773585	0.08123055651572762	0.1082978190022562	0.04911728718755462	0.03887055372203887	0.1273865892775317	0.09197080291970802	0.08826901031715705	0.04107424960505529	0.07032590051457976	0.07571508693213685	0.08070866141732283	0.1012396694214876	0.06033539919795844	0.006271495043495853	0.09276844411979547	0.09876543209876543	0.08528265107212475	0.12591687041564792	0.11496350364963503
1 Tcm	0.014814814814814815	0.008904535100434872	0.08775170884906706	0.02772097250624858	0.04866117404737384	0.043585370475649046	0.010830324909747292	0.01625806451612903	0.10046082949308756	0.04830053667262969	0.0804503582395087	0.15098722415795587	0.16018725829432118	0.12783751493428913	0.09755149630781189	0.08257197034993967	0.04664938911514254	0.03676064123825318	0.06029579067121729	0.011152416356877323	0.07570977917981073	0.13586429725363489	0.10037735849056603	0.14431386104389907	0.11155678114815744	0.03600769096311834	0.041804180418041806	0.05361234153047197	0.07153284671532846	0.05655330531142529	0.020537124802527645	0.04774156660949114	0.09141895681435783	0.11657917760279965	0.08471074380165289	0.03718556325191396	0.0010115314586283633	0.16891891891891891	0.1450127376053302	0.0341130604288499	0.0941320293398533	0.09215328467153285
2 Treg1	0.03333333333333333	0.038931455787947815	0.06779974136338444	0.070892978868439	0.02085478887744593	0.06386204282736403	0.01444043321299639	0.03716129032258064	0.0380952380952381	0.12471249680552006	0.09580348004094166	0.06078203639179249	0.036026867494402606	0.07502986857825568	0.03439564710454722	0.06550594725047405	0.1095890410958904	0.08568269762299613	0.027303754266211604	0.027036160865157147	0.08710129688047669	0.02197092084006462	0.07169811320754717	0.08244037331489804	0.012785159187766357	0.08704771893025695	0.06747341400806747	0.10478081564075149	0.05401459854014599	0.11559037065341994	0.052132701421800945	0.09119496855345911	0.12114413909141895	0.1268591426071741	0.03512396694214876	0.04994531534815895	0.0026299817924337445	0.102081811541271	0.09856946893983931	0.07992202729044834	0.05745721271393643	0.09397810218978102
Trm_merge	0.0728395061728395	0.17705529095050734	0.036209126177720305	0.3078845716882527	0.06539649845520082	0.2092097782831154	0.6522262334536703	0.36129032258064514	0.03748079877112135	0.1714796831075901	0.12323439099283522	0.018195896244676733	0.013230205577040504	0.03608124253285543	0.08356004663816556	0.10567143595931736	0.23213624583487596	0.2244333886124931	0.06939704209328783	0.12031091584994931	0.20311952330879776	0.018739903069466882	0.07660377358490567	0.07155202212236433	0.009275507646026573	0.34469498339451143	0.2871287128712871	0.18573392393462654	0.17956204379562044	0.1507451280091708	0.21011058451816747	0.22584333905088622	0.1519910263600673	0.13079615048118984	0.12190082644628099	0.08877141815530441	0.6680153752781711	0.102081811541271	0.12345679012345678	0.31968810916179335	0.17603911980440098	0.30428832116788324
4 Treg2	0.007160493827160494	0.02029405674052599	0.013855532976168483	0.04317200636219041	0.018022657054582905	0.07030509759332955	0.009626955475330927	0.03380645161290322	0.01904761904761905	0.0723230258113979	0.049539406345957014	0.026906697638404954	0.03541624262161612	0.045878136200716846	0.03050913330742324	0.06619548353732115	0.07441688263606072	0.07517965726920951	0.019340159271899887	0.033119297059817504	0.0969155275148966	0.02455573505654281	0.035849056603773584	0.05063947459384722	0.019804462271245927	0.0723649711588883	0.05243857719105244	0.05834733465709485	0.052554744525547446	0.09896828429499427	0.026856240126382307	0.07833047455688966	0.06590016825574874	0.07633420822397201	0.07024793388429752	0.025337222019686474	0.007687639085575561	0.06537618699780862	0.08014893200078385	0.08966861598440545	0.04156479217603912	0.058394160583941604
5 Tet?	0.03506172839506173	0.15655415199834335	0.028265287271383707	0.01113383321972279	0.052780638516992794	0.0488914155770324	0.009626955475330927	0.016774193548387096	0.0749615975422427	0.03296703296703297	0.029068577277379735	0.08168795973674023	0.0647262365153674	0.08769414575866188	0.03711620676253401	0.05068091708326151	0.01888189559422436	0.017965726920950803	0.009101251422070534	0.031767489016559645	0.02698913424465475	0.045234248788368334	0.08188679245283019	0.0917732457656412	0.10904988718977188	0.011361650061178116	0.005867253392005867	0.013135787383534443	0.01167883211678832	0.02980512036683225	0.00631911532385466	0.03316180674671241	0.01430173864273696	0.051399825021872264	0.028925619834710745	0.024972657674079475	0.001820756625531054	0.02008765522279036	0.047031158142269255	0.03313840155945419	0.014669926650366748	0.00958029197080292
6 CTL:NK?	0.04148148148148148	0.01366742596810934	0.03417698134121559	0.027266530334014997	0.027033985581874358	0.019897669130187607	0.02727637384677096	0.07148387096774193	0.015360983102918587	0.03552261691796575	0.03848515864892528	0.03193960511033682	0.033787909627518826	0.08888888888888889	0.07112320248736884	0.05033614893983796	0.01629026286560533	0.02321724709784411	0.06598407281001138	0.024332544778641434	0.02909218366631616	0.03521809369951535	0.019622641509433963	0.038541306602143104	0.02005515166708448	0.03128823632232127	0.022002200220022004	0.023216740491828317	0.029197080291970802	0.03572793274742071	0.02843601895734597	0.023441966838193252	0.09169938306225463	0.04243219597550306	0.11776859504132231	0.015129420342690485	0.050171960347966824	0.07797662527392257	0.05898491083676269	0.041423001949317736	0.07823960880195599	0.03604014598540146
7 CTLact:NK?	0.1523456790123457	0.010768275005177056	0.0441529650840569	0.006362190411270166	0.05303810504634397	0.09020276672351715	0.004011231448054553	0.03354838709677419	0.06881720430107527	0.016355737285969844	0.044421699078812694	0.04587688734030197	0.11479747608385915	0.026523297491039426	0.11465215701515741	0.0184450956731598	0.011477230655312847	0.015201768933112217	0.022753128555176336	0.01486988847583643	0.010164738871363477	0.06235864297253635	0.041132075471698115	0.03698582786035257	0.03509651541739785	0.014507953155042825	0.026035936927026035	0.020772873071635865	0.020437956204379562	0.014329384791746275	0.030015797788309637	0.006003430531732418	0.033370723499719576	0.02077865266841645	0.08057851239669421	0.024243528982865477	0.0016184503338053813	0.022644265887509132	0.01567705271408975	0.027777777777777776	0.03300733496332518	0.046532846715328466
8 CTLex:NK?	0.05283950617283951	0.018637399047421826	0.025863661555514502	0.05816859804589866	0.024974253347064882	0.01629713852567747	0.014841556357801846	0.07380645161290322	0.034101382488479264	0.046511627906976744	0.027635619242579325	0.014905149051490514	0.03541624262161612	0.05041816009557945	0.044889234356781965	0.029822444406136874	0.01036653091447612	0.03233830845771144	0.11035267349260523	0.020615072659682324	0.028040658955485454	0.015831987075928918	0.017358490566037735	0.054960248876598686	0.01830032589621459	0.031113441705995455	0.026035936927026035	0.04230945471208187	0.043795620437956206	0.022353840275124187	0.04739336492890995	0.022584333905088624	0.08496915311273136	0.06452318460192476	0.06198347107438017	0.022602989427633977	0.005462269876593162	0.052593133674214754	0.07348618459729571	0.06237816764132553	0.06356968215158924	0.032846715328467155
9 Treg-c	0.013580246913580247	0.02981983847587492	0.02179937188250508	0.03749147920927062	0.0038619979402677654	0.04927041879855979	0.009225832330525471	0.05006451612903226	0.005837173579109063	0.04523383593151035	0.06591606960081883	0.005420054200542005	0.004070832485243233	0.05041816009557945	0.030120481927710843	0.05912773659713842	0.05220288781932617	0.040353786622443336	0.004550625711035267	0.012166272389320717	0.07360672975814932	0.003554119547657512	0.015849056603773583	0.0394054614586934	5.01378791677112e-4	0.049641671036532074	0.053171983865053174	0.03451962731021842	0.017518248175182483	0.054260603744745894	0.030015797788309637	0.0634648370497427	0.06057206954570948	0.06780402449693788	0.006198347107438017	0.015858549033904483	0.006271495043495853	0.04656683710737765	0.0752498530276308	0.0550682261208577	0.013447432762836185	0.02281021897810219
