gene	distance	count	nCount_Spatial	cpm
IL17RD	4	13	897835	14.479275145210423
IL17RD	5	7	629984	11.111393305226798
IL17RD	6	6	625463	9.592893584432652
IL17RD	7	5	776226	6.441422987635045
IL17RD	8	1	586713	1.7044108448253235
IL17RD	9	0	225972	0
IL17RD	10	2	231868	8.625597322614592
IL17RE	1	73	2360927	30.920058095824228
IL17RE	2	62	2187821	28.338698641250815
IL17RE	3	55	1586463	34.66831561782405
IL17RE	4	37	897835	41.21024464406044
IL17RE	5	24	629984	38.096205617920454
IL17RE	6	29	625463	46.36565232475782
IL17RE	7	25	776226	32.20711493817522
IL17RE	8	41	586713	69.88084463783825
IL17RE	9	13	225972	57.52925141167932
IL17RE	10	5	231868	21.563993306536478
IL17REL	1	0	2360927	0
IL17REL	2	1	2187821	0.4570757845363035
IL17REL	3	0	1586463	0
IL17REL	4	0	897835	0
IL17REL	5	0	629984	0
IL17REL	6	2	625463	3.197631194810884
IL17REL	7	0	776226	0
IL17REL	8	0	586713	0
IL17REL	9	0	225972	0
IL17REL	10	0	231868	0
IL19	1	130	2360927	55.06311715694725
IL19	2	65	2187821	29.709925994859727
IL19	3	64	1586463	40.34131271892253
IL19	4	18	897835	20.048227124137508
IL19	5	4	629984	6.349367602986742
IL19	6	2	625463	3.197631194810884
IL19	7	1	776226	1.2882845975270087
IL19	8	5	586713	8.522054224126617
IL19	9	6	225972	26.55196219000584
IL19	10	13	231868	56.06638259699484
IL21	1	1	2360927	0.423562439668825
IL21	2	1	2187821	0.4570757845363035
IL21	3	1	1586463	0.6303330112331645
IL21	4	0	897835	0
IL21	5	0	629984	0
IL21	6	0	625463	0
IL21	7	0	776226	0
IL21	8	0	586713	0
IL21	9	0	225972	0
IL21	10	0	231868	0
IL22	1	2	2360927	0.84712487933765
IL22	2	0	2187821	0
IL22	3	4	1586463	2.521332044932658
IL22	4	1	897835	1.113790395785417
IL22	5	0	629984	0
IL22	6	0	625463	0
IL22	7	0	776226	0
IL22	8	0	586713	0
IL22	9	0	225972	0
IL22	10	5	231868	21.563993306536478
IL23A	1	3	2360927	1.270687319006475
IL23A	2	5	2187821	2.2853789226815175
IL23A	3	0	1586463	0
IL23A	4	0	897835	0
IL23A	5	0	629984	0
IL23A	6	0	625463	0
IL23A	7	2	776226	2.5765691950540175
IL23A	8	3	586713	5.113232534475971
IL23A	9	1	225972	4.42532703166764
IL23A	10	1	231868	4.312798661307296
IL23R	1	0	2360927	0
IL23R	2	0	2187821	0
IL23R	3	0	1586463	0
IL23R	4	0	897835	0
IL23R	5	0	629984	0
IL23R	6	0	625463	0
IL23R	7	1	776226	1.2882845975270087
