gene,patient,treatment,cpm,log10cpm
AC016831.5,P6,Pre,56.541,1.76
AC016831.5,P6,Mid,21.055,1.344
AC016831.5,P7,Pre,31.029,1.506
AC016831.5,P7,Mid,30.11,1.493
AC016831.5,P8,Pre,37.846,1.589
AC016831.5,P8,Mid,42.402,1.638
AC016831.5,P9,Pre,59.069,1.779
AC016831.5,P9,Mid,55.624,1.753
AC090377.1,P1,Pre,0,0
AC090377.1,P1,Mid,0,0
AC090377.1,P2,Pre,0.565,0.194
AC090377.1,P2,Mid,0,0
AC090377.1,P3,Pre,0,0
AC090377.1,P3,Mid,0,0
AC090377.1,P4,Pre,0,0
AC090377.1,P4,Mid,0,0
AC090377.1,P5,Pre,0,0
AC090377.1,P5,Mid,1.001,0.301
AC090377.1,P6,Pre,0,0
AC090377.1,P6,Mid,0,0
AC090377.1,P7,Pre,0.486,0.172
AC090377.1,P7,Mid,0,0
AC090377.1,P8,Pre,0,0
AC090377.1,P8,Mid,0,0
AC090377.1,P9,Pre,0,0
AC090377.1,P9,Mid,0,0
AC099552.1,P1,Pre,0.782,0.251
AC099552.1,P1,Mid,0,0
AC099552.1,P2,Pre,1.129,0.328
AC099552.1,P2,Mid,0,0
AC099552.1,P3,Pre,14.96,1.203
AC099552.1,P3,Mid,0,0
AC099552.1,P4,Pre,3.096,0.612
AC099552.1,P4,Mid,0,0
AC099552.1,P5,Pre,5.376,0.805
AC099552.1,P5,Mid,4.003,0.699
AC099552.1,P6,Pre,24.361,1.404
AC099552.1,P6,Mid,2.552,0.55
AC099552.1,P7,Pre,19.849,1.319
AC099552.1,P7,Mid,11.904,1.111
AC099552.1,P8,Pre,5.478,0.811
AC099552.1,P8,Mid,2.628,0.56
AC099552.1,P9,Pre,3.836,0.684
AC099552.1,P9,Mid,3.516,0.655
AC104695.3,P1,Pre,3.128,0.616
AC104695.3,P1,Mid,0,0
AC104695.3,P2,Pre,1.129,0.328
AC104695.3,P2,Mid,1.031,0.308
AC104695.3,P3,Pre,0.997,0.3
AC104695.3,P3,Mid,1.39,0.378
AC104695.3,P4,Pre,0.364,0.135
AC104695.3,P4,Mid,0,0
AC104695.3,P5,Pre,1.241,0.35
AC104695.3,P5,Mid,1.001,0.301
AC104695.3,P6,Pre,0,0
AC104695.3,P6,Mid,0.638,0.214
AC104695.3,P7,Pre,0.243,0.094
AC104695.3,P7,Mid,0.233,0.091
AC104695.3,P8,Pre,0.747,0.242
AC104695.3,P8,Mid,0.526,0.183
AC104695.3,P9,Pre,1.151,0.333
AC104695.3,P9,Mid,1.279,0.358
AC133644.2,P1,Pre,31.672,1.514
AC133644.2,P1,Mid,42.221,1.636
AC133644.2,P2,Pre,45.45,1.667
AC133644.2,P2,Mid,24.755,1.411
