gene,patient,treatment,cpm,log10cpm
DAPP1,P9,Pre,21.48,1.352
DAPP1,P9,Mid,20.14,1.325
DCD,P1,Pre,0,0
DCD,P1,Mid,0,0
DCD,P2,Pre,2.258,0.513
DCD,P2,Mid,6.189,0.857
DCD,P3,Pre,0,0
DCD,P3,Mid,4.169,0.713
DCD,P4,Pre,0,0
DCD,P4,Mid,0,0
DCD,P5,Pre,1.241,0.35
DCD,P5,Mid,2.002,0.477
DCD,P6,Pre,0,0
DCD,P6,Mid,0,0
DCD,P7,Pre,0.81,0.258
DCD,P7,Mid,0.233,0.091
DCD,P8,Pre,0,0
DCD,P8,Mid,0,0
DCD,P9,Pre,0,0
DCD,P9,Mid,1.279,0.358
DCP1B,P1,Pre,72.729,1.868
DCP1B,P1,Mid,28.888,1.475
DCP1B,P2,Pre,81.019,1.914
DCP1B,P2,Mid,35.07,1.557
DCP1B,P3,Pre,61.085,1.793
DCP1B,P3,Mid,25.016,1.415
DCP1B,P4,Pre,37.884,1.59
DCP1B,P4,Mid,19.676,1.315
DCP1B,P5,Pre,50.87,1.715
DCP1B,P5,Mid,57.046,1.764
DCP1B,P6,Pre,44.812,1.661
DCP1B,P6,Mid,19.141,1.304
DCP1B,P7,Pre,27.789,1.459
DCP1B,P7,Mid,24.742,1.411
DCP1B,P8,Pre,113.289,2.058
DCP1B,P8,Mid,97.069,1.992
DCP1B,P9,Pre,55.617,1.753
DCP1B,P9,Mid,127.232,2.108
DDIT4,P1,Pre,408.61,2.612
DDIT4,P1,Mid,95.553,1.985
DDIT4,P2,Pre,365.575,2.564
DDIT4,P2,Mid,208.359,2.321
DDIT4,P3,Pre,156.08,2.196
DDIT4,P3,Mid,70.877,1.857
DDIT4,P4,Pre,154.998,2.193
DDIT4,P4,Mid,60.816,1.791
DDIT4,P5,Pre,204.72,2.313
DDIT4,P5,Mid,138.11,2.143
DDIT4,P6,Pre,177.443,2.251
DDIT4,P6,Mid,124.415,2.098
DDIT4,P7,Pre,133.597,2.129
DDIT4,P7,Mid,83.795,1.928
DDIT4,P8,Pre,305.507,2.486
DDIT4,P8,Mid,173.988,2.243
DDIT4,P9,Pre,107.782,2.037
DDIT4,P9,Mid,59.78,1.784
DENND3,P1,Pre,17.596,1.269
DENND3,P1,Mid,6.667,0.885
DENND3,P2,Pre,17.22,1.261
DENND3,P2,Mid,17.535,1.268
DENND3,P3,Pre,12.965,1.145
DENND3,P3,Mid,9.728,1.031
DENND3,P4,Pre,9.289,1.012
DENND3,P4,Mid,2.683,0.566
DENND3,P5,Pre,11.167,1.085
DENND3,P5,Mid,9.007,1
DENND3,P6,Pre,11.729,1.105
DENND3,P6,Mid,4.466,0.738
DENND3,P7,Pre,5.104,0.786
DENND3,P7,Mid,3.735,0.675
DENND3,P8,Pre,18.923,1.299
DENND3,P8,Mid,11.039,1.081
DENND3,P9,Pre,17.26,1.262
DENND3,P9,Mid,13.107,1.149
DEPP1,P1,Pre,0,0
DEPP1,P1,Mid,0,0
DEPP1,P2,Pre,0.847,0.266
DEPP1,P2,Mid,0,0
DEPP1,P3,Pre,0,0
DEPP1,P3,Mid,0,0
DEPP1,P4,Pre,0,0
DEPP1,P4,Mid,0,0
DEPP1,P5,Pre,0,0
DEPP1,P5,Mid,0,0
DEPP1,P6,Pre,0,0
DEPP1,P6,Mid,0,0
DEPP1,P7,Pre,0.081,0.034
DEPP1,P7,Mid,0,0
DEPP1,P8,Pre,0,0
DEPP1,P8,Mid,0,0
DEPP1,P9,Pre,0,0
DEPP1,P9,Mid,0,0
DLL1,P1,Pre,2.737,0.573
DLL1,P1,Mid,6.667,0.885
DLL1,P2,Pre,0.565,0.194
DLL1,P2,Mid,0,0
DLL1,P3,Pre,0.249,0.097
DLL1,P3,Mid,0,0
DLL1,P4,Pre,0.182,0.073
DLL1,P4,Mid,0,0
DLL1,P5,Pre,0.827,0.262
DLL1,P5,Mid,0,0
DLL1,P6,Pre,0,0
DLL1,P6,Mid,0,0
DLL1,P7,Pre,0.324,0.122
DLL1,P7,Mid,0.467,0.166
DLL1,P8,Pre,0.249,0.097
DLL1,P8,Mid,0.35,0.13
DLL1,P9,Pre,0.767,0.247
DLL1,P9,Mid,1.598,0.415
DLL4,P1,Pre,0.391,0.143
DLL4,P1,Mid,0,0
DLL4,P2,Pre,0,0
DLL4,P2,Mid,0,0
DLL4,P3,Pre,0,0
DLL4,P3,Mid,0,0
DLL4,P4,Pre,0,0
DLL4,P4,Mid,0,0
DLL4,P5,Pre,0,0
DLL4,P5,Mid,0,0
DLL4,P6,Pre,0,0
DLL4,P6,Mid,0,0
DLL4,P7,Pre,0.081,0.034
DLL4,P7,Mid,0,0
DLL4,P8,Pre,0.249,0.097
DLL4,P8,Mid,0,0
DLL4,P9,Pre,0,0
DLL4,P9,Mid,0,0
DNPH1,P1,Pre,48.486,1.694
DNPH1,P1,Mid,53.332,1.735
DNPH1,P2,Pre,73.962,1.875
DNPH1,P2,Mid,100.053,2.005
DNPH1,P3,Pre,184.254,2.268
DNPH1,P3,Mid,90.334,1.961
DNPH1,P4,Pre,143.524,2.16
DNPH1,P4,Mid,85.858,1.939
DNPH1,P5,Pre,118.283,2.077
DNPH1,P5,Mid,78.062,1.898
DNPH1,P6,Pre,200.901,2.305
DNPH1,P6,Mid,216.929,2.338
DNPH1,P7,Pre,181.072,2.26
DNPH1,P7,Mid,173.426,2.242
DNPH1,P8,Pre,164.58,2.219
DNPH1,P8,Mid,142.625,2.157
DNPH1,P9,Pre,200.222,2.304
DNPH1,P9,Mid,126.273,2.105
DUSP1,P1,Pre,104.01,2.021
DUSP1,P1,Mid,26.666,1.442
DUSP1,P2,Pre,42.345,1.637
DUSP1,P2,Mid,105.211,2.026
DUSP1,P3,Pre,44.879,1.662
DUSP1,P3,Mid,54.2,1.742
DUSP1,P4,Pre,45.17,1.664
DUSP1,P4,Mid,13.415,1.159
DUSP1,P5,Pre,68.654,1.843
DUSP1,P5,Mid,20.016,1.323
DUSP1,P6,Pre,34.586,1.551
DUSP1,P6,Mid,62.527,1.803
DUSP1,P7,Pre,107.914,2.037
DUSP1,P7,Mid,32.444,1.524
DUSP1,P8,Pre,41.83,1.632
DUSP1,P8,Mid,51.513,1.72
DUSP1,P9,Pre,17.644,1.271
DUSP1,P9,Mid,29.41,1.483
DUSP4,P1,Pre,603.336,2.781
DUSP4,P1,Mid,155.552,2.195
DUSP4,P2,Pre,243.905,2.389
DUSP4,P2,Mid,243.429,2.388
DUSP4,P3,Pre,256.808,2.411
DUSP4,P3,Mid,165.38,2.221
DUSP4,P4,Pre,216.196,2.337
DUSP4,P4,Mid,245.948,2.393
DUSP4,P5,Pre,239.874,2.382
DUSP4,P5,Mid,147.118,2.171
DUSP4,P6,Pre,221.052,2.346
DUSP4,P6,Mid,57.422,1.767
DUSP4,P7,Pre,204.567,2.313
DUSP4,P7,Mid,141.915,2.155
DUSP4,P8,Pre,366.26,2.565
DUSP4,P8,Mid,232.334,2.368
DUSP4,P9,Pre,426.909,2.631
DUSP4,P9,Mid,388.409,2.59
EDARADD,P1,Pre,14.077,1.178
EDARADD,P1,Mid,22.222,1.366
EDARADD,P2,Pre,4.517,0.742
EDARADD,P2,Mid,9.283,1.012
EDARADD,P3,Pre,6.981,0.902
EDARADD,P3,Mid,11.118,1.083
EDARADD,P4,Pre,3.096,0.612
EDARADD,P4,Mid,3.577,0.661
EDARADD,P5,Pre,21.092,1.344
EDARADD,P5,Mid,14.011,1.176
EDARADD,P6,Pre,6.316,0.864
EDARADD,P6,Mid,0.638,0.214
EDARADD,P7,Pre,2.755,0.575
EDARADD,P7,Mid,3.501,0.653
EDARADD,P8,Pre,4.233,0.719
EDARADD,P8,Mid,5.081,0.784
EDARADD,P9,Pre,9.206,1.009
EDARADD,P9,Mid,20.14,1.325
EGLN3,P1,Pre,64.908,1.819
EGLN3,P1,Mid,53.332,1.735
EGLN3,P2,Pre,27.947,1.462
EGLN3,P2,Mid,120.683,2.085
EGLN3,P3,Pre,136.632,2.139
EGLN3,P3,Mid,126.467,2.105
EGLN3,P4,Pre,17.485,1.267
EGLN3,P4,Mid,82.281,1.921
EGLN3,P5,Pre,55.006,1.748
EGLN3,P5,Mid,99.079,2
EGLN3,P6,Pre,67.368,1.835
EGLN3,P6,Mid,45.3,1.666
EGLN3,P7,Pre,340.351,2.533
EGLN3,P7,Mid,270.526,2.434
EGLN3,P8,Pre,19.172,1.305
EGLN3,P8,Mid,15.419,1.215
EGLN3,P9,Pre,197.537,2.298
EGLN3,P9,Mid,351.327,2.547
EMP2,P1,Pre,0,0
EMP2,P1,Mid,0,0
EMP2,P2,Pre,0.282,0.108
EMP2,P2,Mid,0,0
EMP2,P3,Pre,0,0
EMP2,P3,Mid,0,0
EMP2,P4,Pre,0.182,0.073
EMP2,P4,Mid,0,0
EMP2,P5,Pre,0,0
EMP2,P5,Mid,0,0
EMP2,P6,Pre,0,0
EMP2,P6,Mid,0,0
EMP2,P7,Pre,0.486,0.172
EMP2,P7,Mid,0,0
EMP2,P8,Pre,0,0
EMP2,P8,Mid,0,0
EMP2,P9,Pre,0,0
EMP2,P9,Mid,0,0
ENDOV,P1,Pre,23.461,1.388
ENDOV,P1,Mid,8.889,0.995
ENDOV,P2,Pre,20.89,1.34
ENDOV,P2,Mid,21.661,1.355
ENDOV,P3,Pre,17.952,1.278
ENDOV,P3,Mid,13.898,1.173
ENDOV,P4,Pre,16.028,1.231
ENDOV,P4,Mid,18.781,1.296
ENDOV,P5,Pre,18.197,1.283
ENDOV,P5,Mid,19.015,1.301
ENDOV,P6,Pre,15.639,1.221
ENDOV,P6,Mid,13.399,1.158
ENDOV,P7,Pre,11.018,1.08
ENDOV,P7,Mid,7.703,0.94
ENDOV,P8,Pre,21.164,1.346
ENDOV,P8,Mid,13.492,1.161
ENDOV,P9,Pre,26.466,1.439
ENDOV,P9,Mid,13.746,1.169
ENTPD1,P1,Pre,73.902,1.874
ENTPD1,P1,Mid,15.555,1.219
ENTPD1,P2,Pre,194.221,2.291
ENTPD1,P2,Mid,162.974,2.215
ENTPD1,P3,Pre,20.445,1.331
ENTPD1,P3,Mid,1.39,0.378
ENTPD1,P4,Pre,156.455,2.197
ENTPD1,P4,Mid,47.401,1.685
ENTPD1,P5,Pre,78.579,1.901
ENTPD1,P5,Mid,138.11,2.143
ENTPD1,P6,Pre,60.15,1.786
ENTPD1,P6,Mid,24.245,1.402
ENTPD1,P7,Pre,203.757,2.311
ENTPD1,P7,Mid,134.913,2.133
ENTPD1,P8,Pre,142.67,2.157
ENTPD1,P8,Mid,90.586,1.962
ENTPD1,P9,Pre,229.756,2.363
ENTPD1,P9,Mid,271.087,2.435
EPB41L4A-AS1,P1,Pre,114.176,2.061
EPB41L4A-AS1,P1,Mid,77.776,1.896
EPB41L4A-AS1,P2,Pre,128.163,2.111
EPB41L4A-AS1,P2,Mid,39.196,1.604
EPB41L4A-AS1,P3,Pre,87.016,1.945
EPB41L4A-AS1,P3,Mid,73.657,1.873
EPB41L4A-AS1,P4,Pre,97.807,1.995
EPB41L4A-AS1,P4,Mid,43.823,1.652
EPB41L4A-AS1,P5,Pre,100.085,2.005
EPB41L4A-AS1,P5,Mid,75.06,1.881
EPB41L4A-AS1,P6,Pre,62.556,1.803
EPB41L4A-AS1,P6,Mid,74.649,1.879
EPB41L4A-AS1,P7,Pre,73.887,1.874
EPB41L4A-AS1,P7,Mid,63.488,1.809
EPB41L4A-AS1,P8,Pre,114.285,2.062
EPB41L4A-AS1,P8,Mid,109.509,2.043
EPB41L4A-AS1,P9,Pre,93.207,1.974
EPB41L4A-AS1,P9,Mid,62.977,1.806
EPDR1,P1,Pre,0,0
EPDR1,P1,Mid,0,0
EPDR1,P2,Pre,0,0
EPDR1,P2,Mid,0,0
EPDR1,P3,Pre,0,0
EPDR1,P3,Mid,0,0
EPDR1,P4,Pre,0.182,0.073
EPDR1,P4,Mid,0,0
EPDR1,P5,Pre,0,0
EPDR1,P5,Mid,0,0
EPDR1,P6,Pre,0,0
EPDR1,P6,Mid,0,0
EPDR1,P7,Pre,0.081,0.034
EPDR1,P7,Mid,0,0
EPDR1,P8,Pre,0,0
EPDR1,P8,Mid,0,0
EPDR1,P9,Pre,0,0
EPDR1,P9,Mid,0,0
ERC1,P1,Pre,39.101,1.603
ERC1,P1,Mid,15.555,1.219
ERC1,P2,Pre,17.785,1.274
ERC1,P2,Mid,15.472,1.217
ERC1,P3,Pre,18.949,1.3
ERC1,P3,Mid,33.354,1.536
ERC1,P4,Pre,11.11,1.083
ERC1,P4,Mid,11.627,1.101
ERC1,P5,Pre,37.222,1.582
ERC1,P5,Mid,15.012,1.204
ERC1,P6,Pre,15.338,1.213
ERC1,P6,Mid,8.294,0.968
ERC1,P7,Pre,19.768,1.317
ERC1,P7,Mid,14.705,1.196
ERC1,P8,Pre,12.449,1.129
ERC1,P8,Mid,20.675,1.336
ERC1,P9,Pre,18.028,1.279
ERC1,P9,Mid,61.378,1.795
EREG,P1,Pre,6.647,0.884
EREG,P1,Mid,0,0
EREG,P2,Pre,3.388,0.642
EREG,P2,Mid,1.031,0.308
EREG,P3,Pre,1.496,0.397
EREG,P3,Mid,0,0
EREG,P4,Pre,0.182,0.073
EREG,P4,Mid,0,0
EREG,P5,Pre,1.241,0.35
EREG,P5,Mid,2.002,0.477
EREG,P6,Pre,0.301,0.114
EREG,P6,Mid,0.638,0.214
EREG,P7,Pre,2.674,0.565
EREG,P7,Mid,0,0
EREG,P8,Pre,0,0
EREG,P8,Mid,0.526,0.183
EREG,P9,Pre,0,0
EREG,P9,Mid,0.32,0.12
ERICH1,P1,Pre,84.85,1.934
ERICH1,P1,Mid,55.554,1.752
ERICH1,P2,Pre,57.306,1.766
ERICH1,P2,Mid,54.668,1.746
ERICH1,P3,Pre,54.603,1.745
ERICH1,P3,Mid,59.759,1.784
ERICH1,P4,Pre,50.27,1.71
ERICH1,P4,Mid,75.126,1.882
ERICH1,P5,Pre,65.345,1.822
ERICH1,P5,Mid,33.026,1.532
ERICH1,P6,Pre,61.052,1.793
ERICH1,P6,Mid,36.368,1.572
ERICH1,P7,Pre,54.362,1.743
ERICH1,P7,Mid,57.186,1.765
ERICH1,P8,Pre,50.544,1.712
ERICH1,P8,Mid,54.492,1.744
ERICH1,P9,Pre,63.672,1.811
ERICH1,P9,Mid,64.575,1.817
ETV7,P1,Pre,99.709,2.003
ETV7,P1,Mid,37.777,1.589
ETV7,P2,Pre,33.311,1.535
ETV7,P2,Mid,16.504,1.243
ETV7,P3,Pre,100.729,2.007
ETV7,P3,Mid,44.472,1.658
ETV7,P4,Pre,45.17,1.664
ETV7,P4,Mid,24.148,1.4
ETV7,P5,Pre,19.852,1.319
ETV7,P5,Mid,4.003,0.699
ETV7,P6,Pre,105.563,2.028
ETV7,P6,Mid,7.018,0.904
ETV7,P7,Pre,37.997,1.591
ETV7,P7,Mid,21.474,1.352
ETV7,P8,Pre,70.961,1.857
ETV7,P8,Mid,35.393,1.561
ETV7,P9,Pre,33.37,1.536
ETV7,P9,Mid,33.247,1.535
EVA1B,P1,Pre,45.749,1.67
EVA1B,P1,Mid,37.777,1.589
EVA1B,P2,Pre,75.938,1.886
EVA1B,P2,Mid,25.787,1.428
EVA1B,P3,Pre,80.284,1.91
EVA1B,P3,Mid,34.744,1.553
EVA1B,P4,Pre,98.718,1.999
EVA1B,P4,Mid,38.457,1.596
EVA1B,P5,Pre,47.561,1.686
EVA1B,P5,Mid,37.03,1.58
EVA1B,P6,Pre,47.819,1.689
EVA1B,P6,Mid,24.245,1.402
EVA1B,P7,Pre,46.018,1.672
EVA1B,P7,Mid,34.312,1.548
EVA1B,P8,Pre,76.688,1.89
EVA1B,P8,Mid,55.368,1.751
EVA1B,P9,Pre,54.083,1.741
EVA1B,P9,Mid,46.034,1.672
F13A1,P1,Pre,0,0
F13A1,P1,Mid,0,0
F13A1,P2,Pre,0,0
F13A1,P2,Mid,0,0
F13A1,P3,Pre,0,0
F13A1,P3,Mid,0,0
F13A1,P4,Pre,0,0
F13A1,P4,Mid,0,0
F13A1,P5,Pre,0,0
F13A1,P5,Mid,0,0
F13A1,P6,Pre,0,0
F13A1,P6,Mid,0.638,0.214
F13A1,P7,Pre,0,0
F13A1,P7,Mid,0,0
F13A1,P8,Pre,0,0
F13A1,P8,Mid,0,0
F13A1,P9,Pre,0.384,0.141
F13A1,P9,Mid,0,0
F5,P1,Pre,20.333,1.329
F5,P1,Mid,0,0
F5,P2,Pre,8.751,0.989
F5,P2,Mid,9.283,1.012
F5,P3,Pre,21.193,1.346
F5,P3,Mid,22.236,1.366
F5,P4,Pre,31.328,1.51
F5,P4,Mid,0.894,0.277
F5,P5,Pre,12.407,1.127
F5,P5,Mid,4.003,0.699
F5,P6,Pre,2.707,0.569
F5,P6,Mid,0.638,0.214
F5,P7,Pre,15.717,1.223
F5,P7,Mid,12.604,1.134
F5,P8,Pre,9.71,1.03
F5,P8,Mid,14.893,1.201
F5,P9,Pre,19.178,1.305
F5,P9,Mid,16.623,1.246
FAM118A,P1,Pre,69.992,1.851
FAM118A,P1,Mid,33.333,1.536
FAM118A,P2,Pre,34.158,1.546
FAM118A,P2,Mid,39.196,1.604
FAM118A,P3,Pre,24.434,1.405
FAM118A,P3,Mid,36.134,1.57
FAM118A,P4,Pre,31.145,1.507
FAM118A,P4,Mid,17.887,1.276
FAM118A,P5,Pre,70.721,1.856
FAM118A,P5,Mid,56.045,1.756
FAM118A,P6,Pre,42.406,1.638
FAM118A,P6,Mid,17.227,1.261
FAM118A,P7,Pre,71.862,1.863
FAM118A,P7,Mid,56.019,1.756
FAM118A,P8,Pre,31.621,1.514
FAM118A,P8,Mid,29.436,1.483
FAM118A,P9,Pre,60.22,1.787
FAM118A,P9,Mid,60.1,1.786
FAM129A,P1,Pre,737.063,2.868
FAM129A,P1,Mid,302.215,2.482
FAM129A,P2,Pre,440.384,2.645
FAM129A,P2,Mid,403.308,2.607
FAM129A,P3,Pre,352.052,2.548
FAM129A,P3,Mid,480.854,2.683
FAM129A,P4,Pre,347.881,2.543
FAM129A,P4,Mid,245.053,2.391
FAM129A,P5,Pre,217.541,2.34
FAM129A,P5,Mid,230.184,2.364
FAM129A,P6,Pre,376.841,2.577
FAM129A,P6,Mid,242.45,2.386
FAM129A,P7,Pre,343.025,2.537
FAM129A,P7,Mid,263.29,2.422
FAM129A,P8,Pre,353.064,2.549
FAM129A,P8,Mid,392.305,2.595
FAM129A,P9,Pre,380.114,2.581
FAM129A,P9,Mid,534.822,2.729
FBXL4,P1,Pre,15.25,1.211
FBXL4,P1,Mid,13.333,1.156
FBXL4,P2,Pre,11.856,1.109
FBXL4,P2,Mid,16.504,1.243
FBXL4,P3,Pre,17.952,1.278
FBXL4,P3,Mid,11.118,1.083
FBXL4,P4,Pre,11.292,1.09
FBXL4,P4,Mid,11.627,1.101
FBXL4,P5,Pre,10.753,1.07
FBXL4,P5,Mid,8.006,0.955
FBXL4,P6,Pre,10.226,1.05
FBXL4,P6,Mid,12.123,1.118
FBXL4,P7,Pre,10.937,1.077
FBXL4,P7,Mid,11.204,1.086
FBXL4,P8,Pre,9.959,1.04
FBXL4,P8,Mid,14.543,1.192
FBXL4,P9,Pre,17.644,1.271
FBXL4,P9,Mid,15.025,1.205
FBXO32,P1,Pre,104.792,2.024
FBXO32,P1,Mid,15.555,1.219
FBXO32,P2,Pre,121.67,2.089
FBXO32,P2,Mid,54.668,1.746
FBXO32,P3,Pre,82.777,1.923
FBXO32,P3,Mid,56.98,1.763
FBXO32,P4,Pre,53.366,1.735
FBXO32,P4,Mid,37.563,1.586
FBXO32,P5,Pre,47.148,1.683
FBXO32,P5,Mid,35.028,1.557
FBXO32,P6,Pre,61.353,1.795
FBXO32,P6,Mid,20.417,1.331
FBXO32,P7,Pre,48.043,1.691
FBXO32,P7,Mid,34.545,1.551
FBXO32,P8,Pre,54.279,1.743
FBXO32,P8,Mid,51.688,1.722
FBXO32,P9,Pre,57.535,1.767
FBXO32,P9,Mid,114.445,2.062
FCER1A,P1,Pre,0,0
FCER1A,P1,Mid,0,0
FCER1A,P2,Pre,0,0
FCER1A,P2,Mid,0,0
FCER1A,P3,Pre,0,0
FCER1A,P3,Mid,0,0
FCER1A,P4,Pre,0,0
FCER1A,P4,Mid,0,0
FCER1A,P5,Pre,0,0
FCER1A,P5,Mid,0,0
FCER1A,P6,Pre,0.301,0.114
FCER1A,P6,Mid,0,0
FCER1A,P7,Pre,0,0
FCER1A,P7,Mid,0,0
FCER1A,P8,Pre,0,0
FCER1A,P8,Mid,0,0
FCER1A,P9,Pre,0,0
FCER1A,P9,Mid,0,0
FCER1G,P1,Pre,7.82,0.945
FCER1G,P1,Mid,0,0
FCER1G,P2,Pre,5.646,0.823
FCER1G,P2,Mid,0,0
FCER1G,P3,Pre,1.496,0.397
FCER1G,P3,Mid,0,0
FCER1G,P4,Pre,1.639,0.421
FCER1G,P4,Mid,0,0
FCER1G,P5,Pre,4.549,0.744
FCER1G,P5,Mid,1.001,0.301
FCER1G,P6,Pre,0.301,0.114
FCER1G,P6,Mid,1.276,0.357
FCER1G,P7,Pre,1.944,0.469
FCER1G,P7,Mid,0.7,0.231
FCER1G,P8,Pre,0.498,0.176
FCER1G,P8,Mid,0.35,0.13
FCER1G,P9,Pre,0,0
FCER1G,P9,Mid,0.32,0.12
FCGR2B,P1,Pre,0,0
FCGR2B,P1,Mid,0,0
FCGR2B,P2,Pre,0.847,0.266
FCGR2B,P2,Mid,0,0
FCGR2B,P3,Pre,0,0
FCGR2B,P3,Mid,0,0
FCGR2B,P4,Pre,0,0
FCGR2B,P4,Mid,0,0
FCGR2B,P5,Pre,0,0
FCGR2B,P5,Mid,0,0
FCGR2B,P6,Pre,0,0
FCGR2B,P6,Mid,0,0
FCGR2B,P7,Pre,0,0
FCGR2B,P7,Mid,0,0
FCGR2B,P8,Pre,0,0
FCGR2B,P8,Mid,0,0
FCGR2B,P9,Pre,0,0
FCGR2B,P9,Mid,0,0
FCMR,P1,Pre,15.641,1.221
FCMR,P1,Mid,15.555,1.219
FCMR,P2,Pre,33.876,1.543
FCMR,P2,Mid,4.126,0.71
FCMR,P3,Pre,9.724,1.03
FCMR,P3,Mid,9.728,1.031
FCMR,P4,Pre,32.238,1.522
FCMR,P4,Mid,3.577,0.661
FCMR,P5,Pre,15.302,1.212
FCMR,P5,Mid,5.004,0.778
FCMR,P6,Pre,14.737,1.197
FCMR,P6,Mid,26.159,1.434
FCMR,P7,Pre,15.15,1.208
FCMR,P7,Mid,12.604,1.134
FCMR,P8,Pre,10.457,1.059
FCMR,P8,Mid,16.821,1.251
FCMR,P9,Pre,26.466,1.439
FCMR,P9,Mid,10.549,1.063
FES,P1,Pre,44.576,1.659
FES,P1,Mid,0,0
FES,P2,Pre,10.727,1.069
FES,P2,Mid,11.346,1.092
FES,P3,Pre,7.729,0.941
FES,P3,Mid,4.169,0.713
FES,P4,Pre,13.66,1.166
FES,P4,Mid,1.789,0.445
FES,P5,Pre,1.654,0.424
FES,P5,Mid,4.003,0.699
FES,P6,Pre,17.444,1.266
FES,P6,Mid,2.552,0.55
FES,P7,Pre,3.484,0.652
FES,P7,Mid,1.867,0.457
FES,P8,Pre,21.911,1.36
FES,P8,Mid,9.987,1.041
FES,P9,Pre,4.219,0.718
FES,P9,Mid,8.631,0.984
FGL2,P1,Pre,50.832,1.715
FGL2,P1,Mid,28.888,1.475
FGL2,P2,Pre,12.703,1.137
FGL2,P2,Mid,15.472,1.217
FGL2,P3,Pre,21.941,1.361
FGL2,P3,Mid,30.575,1.499
FGL2,P4,Pre,5.1,0.785
FGL2,P4,Mid,6.26,0.861
FGL2,P5,Pre,101.326,2.01
FGL2,P5,Mid,31.025,1.505
FGL2,P6,Pre,8.722,0.988
FGL2,P6,Mid,2.552,0.55
FGL2,P7,Pre,4.051,0.703
FGL2,P7,Mid,3.735,0.675
FGL2,P8,Pre,12.449,1.129
FGL2,P8,Mid,12.791,1.14
FGL2,P9,Pre,29.535,1.485
FGL2,P9,Mid,60.1,1.786
FKBP5,P1,Pre,504.409,2.704
FKBP5,P1,Mid,108.886,2.041
FKBP5,P2,Pre,853.103,2.932
FKBP5,P2,Mid,269.216,2.432
FKBP5,P3,Pre,235.865,2.375
FKBP5,P3,Mid,182.057,2.263
FKBP5,P4,Pre,210.732,2.326
FKBP5,P4,Mid,93.907,1.977
FKBP5,P5,Pre,97.604,1.994
FKBP5,P5,Mid,100.08,2.005
FKBP5,P6,Pre,177.744,2.252
FKBP5,P6,Mid,132.71,2.126
FKBP5,P7,Pre,116.259,2.069
FKBP5,P7,Mid,78.66,1.901
FKBP5,P8,Pre,357.048,2.554
FKBP5,P8,Mid,375.134,2.575
FKBP5,P9,Pre,119.673,2.082
FKBP5,P9,Mid,160.159,2.207
FLOT2,P1,Pre,27.762,1.459
FLOT2,P1,Mid,22.222,1.366
FLOT2,P2,Pre,24.278,1.403
FLOT2,P2,Mid,33.007,1.532
FLOT2,P3,Pre,28.673,1.472
FLOT2,P3,Mid,47.252,1.684
FLOT2,P4,Pre,28.413,1.469
FLOT2,P4,Mid,18.781,1.296
FLOT2,P5,Pre,18.197,1.283
FLOT2,P5,Mid,23.018,1.381
FLOT2,P6,Pre,52.03,1.725
FLOT2,P6,Mid,34.453,1.55
FLOT2,P7,Pre,32.002,1.519
FLOT2,P7,Mid,28.943,1.476
FLOT2,P8,Pre,32.368,1.523
FLOT2,P8,Mid,28.91,1.476
FLOT2,P9,Pre,42.576,1.639
FLOT2,P9,Mid,38.361,1.595
FLT3,P1,Pre,0,0
FLT3,P1,Mid,0,0
FLT3,P2,Pre,0,0
FLT3,P2,Mid,0,0
FLT3,P3,Pre,0.249,0.097
FLT3,P3,Mid,0,0
FLT3,P4,Pre,0,0
FLT3,P4,Mid,0,0
FLT3,P5,Pre,0,0
FLT3,P5,Mid,0,0
FLT3,P6,Pre,0,0
FLT3,P6,Mid,0,0
FLT3,P7,Pre,0.324,0.122
FLT3,P7,Mid,0,0
FLT3,P8,Pre,0,0
FLT3,P8,Mid,0,0
FLT3,P9,Pre,0,0
FLT3,P9,Mid,0,0
FNIP2,P1,Pre,7.82,0.945
FNIP2,P1,Mid,4.444,0.736
FNIP2,P2,Pre,7.622,0.936
FNIP2,P2,Mid,2.063,0.486
FNIP2,P3,Pre,4.488,0.739
FNIP2,P3,Mid,1.39,0.378
FNIP2,P4,Pre,5.464,0.811
FNIP2,P4,Mid,1.789,0.445
FNIP2,P5,Pre,6.204,0.858
FNIP2,P5,Mid,4.003,0.699
FNIP2,P6,Pre,7.218,0.915
FNIP2,P6,Mid,8.294,0.968
FNIP2,P7,Pre,3.889,0.689
FNIP2,P7,Mid,4.201,0.716
FNIP2,P8,Pre,4.233,0.719
FNIP2,P8,Mid,3.154,0.618
FNIP2,P9,Pre,3.069,0.609
FNIP2,P9,Mid,5.754,0.83
FOLR2,P1,Pre,0,0
FOLR2,P1,Mid,0,0
FOLR2,P2,Pre,0,0
FOLR2,P2,Mid,0,0
FOLR2,P3,Pre,0,0
FOLR2,P3,Mid,0,0
FOLR2,P4,Pre,0,0
FOLR2,P4,Mid,0,0
FOLR2,P5,Pre,0,0
FOLR2,P5,Mid,0,0
FOLR2,P6,Pre,0,0
FOLR2,P6,Mid,0,0
FOLR2,P7,Pre,0,0
FOLR2,P7,Mid,0,0
FOLR2,P8,Pre,0,0
FOLR2,P8,Mid,0,0
FOLR2,P9,Pre,0,0
FOLR2,P9,Mid,0,0
FOS,P1,Pre,37.928,1.59
FOS,P1,Mid,2.222,0.508
FOS,P2,Pre,14.679,1.195
FOS,P2,Mid,79.424,1.905
FOS,P3,Pre,15.458,1.216
FOS,P3,Mid,86.165,1.94
