gene,distance,cpm
IL23R,9,0
IL23R,10,0
IL26,1,0.423562439668825
IL26,2,3.1995304917541243
IL26,3,1.8909990336994935
IL26,4,4.455161583141668
IL26,5,1.5873419007466856
IL26,6,0
IL26,7,0
IL26,8,0
IL26,9,0
IL26,10,8.625597322614592
IL36A,1,133.42216849567987
IL36A,2,127.52414388562867
IL36A,3,57.360304022217974
IL36A,4,23.38959831149376
IL36A,5,55.556966526134
IL36A,6,68.749070688434
IL36A,7,28.342261145594193
IL36A,8,49.42791449993438
IL36A,9,13.27598109500292
IL36A,10,38.815187951765665
IL36G,1,1212.659264771846
IL36G,2,992.7686040128513
IL36G,3,777.200602850492
IL36G,4,562.4641498716356
IL36G,5,698.4304363285416
IL36G,6,956.0917272484544
IL36G,7,645.4305833610315
IL36G,8,308.4983629133835
IL36G,9,261.09429486839076
IL36G,10,448.53106077595874
LCN2,1,1320.6676868873965
LCN2,2,1447.101933841937
LCN2,3,859.7742273220365
LCN2,4,414.3300272321752
LCN2,5,811.1317112815564
LCN2,6,880.9473941703985
LCN2,7,691.8088288720037
LCN2,8,332.36011474093806
LCN2,9,238.96765971005257
LCN2,10,590.8534165990995
PI3,1,6300.067727634103
PI3,2,5115.135104745772
PI3,3,3528.604196883255
PI3,4,2229.808372362405
PI3,5,2439.7445014476557
PI3,6,3760.414285097599
PI3,7,2756.929038707799
PI3,8,1331.1448698085776
PI3,9,1230.240914803604
PI3,10,1914.882605620439
PLAT,1,67.76999034701201
PLAT,2,61.24815512786466
PLAT,3,83.20395748277772
PLAT,4,85.76186047547712
PLAT,5,66.6683598313608
PLAT,6,47.96446792216326
PLAT,7,50.24309930355335
PLAT,8,61.358790413711645
PLAT,9,75.23055953834988
PLAT,10,56.06638259699484
PRSS22,1,409.58487915975377
PRSS22,2,372.51676439708734
PRSS22,3,222.5075529653071
PRSS22,4,175.9788825340959
PRSS22,5,250.80002031797633
PRSS22,6,187.06142489643673
PRSS22,7,193.24268962905137
PRSS22,8,121.01316998259796
PRSS22,9,132.7598109500292
PRSS22,10,198.3887384201356
PTPRC,1,16.09537270741535
PTPRC,2,18.28303138145214
PTPRC,3,21.431322381927597
PTPRC,4,17.82064633256667
PTPRC,5,12.698735205973485
PTPRC,6,14.38934037664898
PTPRC,7,18.035984365378127
PTPRC,8,34.08821689650647
PTPRC,9,39.827943285008764
PTPRC,10,38.815187951765665
RHCG,1,1028.833165955576
RHCG,2,884.8987188622835
RHCG,3,654.9159986712581
RHCG,4,383.1438961501835
RHCG,5,366.6759790724844
RHCG,6,433.2790268968748
RHCG,7,301.45859582132005
RHCG,8,213.05135560316543
RHCG,9,172.58775423503795
RHCG,10,392.46467817896394
S100A7A,1,2925.122208352905
S100A7A,2,2615.3876391167287
S100A7A,3,2332.232141562709
S100A7A,4,1728.6026942589674
S100A7A,5,1973.0659826281303
S100A7A,6,2428.6008924588664
S100A7A,7,1745.625629649097
S100A7A,8,823.2304380506313
S100A7A,9,1017.8252172835572
S100A7A,10,1518.105128780168
SERPINB3,1,1011.0435434894852
SERPINB3,2,855.1887928674238
SERPINB3,3,647.35200253646
SERPINB3,4,501.20567810343766
SERPINB3,5,503.1873825366994
SERPINB3,6,597.9570334296353
SERPINB3,7,485.6832932676824
SERPINB3,8,231.799874896244
SERPINB3,9,278.79560299506136
SERPINB3,10,457.1566580985733
SLC6A14,1,315.97757999294345
SLC6A14,2,300.29879044035135
