CellType	gene_name	log2FoldChange_il23	log2FoldChange_il17	padj_il23	padj_il17	significant_il23	significant_il17	radar_gene	pv50_gene
Teff	TNFRSF9	-2.496	-0.793	0.062	0.686	FALSE	FALSE	FALSE	FALSE
Teff	PARK7	0.049	1.172	0.964	0.232	FALSE	FALSE	FALSE	FALSE
Teff	ERRFI1	0.65	0.432	0.821	0.844	FALSE	FALSE	FALSE	FALSE
Teff	RERE	0.383	-0.764	0.348	0.568	FALSE	FALSE	FALSE	FALSE
Teff	ENO1	-0.078	1.794	0.936	0.127	FALSE	FALSE	FALSE	FALSE
Teff	GPR157	0.035	-2.085	0.994	0.269	FALSE	FALSE	FALSE	FALSE
Teff	H6PD	-0.431	-0.53	0.74	0.75	FALSE	FALSE	FALSE	FALSE
Teff	SPSB1	0.162	0.375	0.93	0.825	FALSE	FALSE	FALSE	FALSE
Teff	SLC25A33	0.124	-0.634	0.936	0.7	FALSE	FALSE	FALSE	FALSE
Teff	TMEM201	-0.649	-0.933	0.744	0.673	FALSE	FALSE	FALSE	FALSE
Teff	PIK3CD	0.207	0.671	0.81	0.582	FALSE	FALSE	FALSE	FALSE
Teff	CLSTN1	-0.08	-0.462	0.937	0.75	FALSE	FALSE	FALSE	FALSE
Teff	CTNNBIP1	-0.308	-0.075	0.782	0.969	FALSE	FALSE	FALSE	FALSE
Teff	LZIC	0.286	0.411	0.503	0.694	FALSE	FALSE	FALSE	FALSE
Teff	NMNAT1	-0.434	-1.71	0.725	0.278	FALSE	FALSE	FALSE	FALSE
Teff	UBE4B	-0.241	-0.927	0.781	0.371	FALSE	FALSE	FALSE	FALSE
Teff	KIF1B	-0.023	-1.202	0.991	0.327	FALSE	FALSE	FALSE	FALSE
Teff	PGD	0.288	1.072	0.737	0.402	FALSE	FALSE	FALSE	FALSE
Teff	DFFA	-0.174	0.381	0.789	0.742	FALSE	FALSE	FALSE	FALSE
Teff	PEX14	-0.25	-0.029	0.869	0.987	FALSE	FALSE	FALSE	FALSE
Teff	CASZ1	-0.472	-2.852	0.632	0.063	FALSE	FALSE	FALSE	FALSE
Teff	TARDBP	0.211	0.235	0.722	0.836	FALSE	FALSE	FALSE	FALSE
Teff	SRM	0.01	1.528	0.996	0.392	FALSE	FALSE	FALSE	FALSE
Teff	EXOSC10	0.095	1.491	0.927	0.126	FALSE	FALSE	FALSE	FALSE
Teff	MTOR	0.003	-0.358	0.999	0.746	FALSE	FALSE	FALSE	FALSE
Teff	UBIAD1	-0.11	0.072	0.936	0.966	FALSE	FALSE	FALSE	FALSE
Teff	FBXO2	0.162	2.1	0.925	0.219	FALSE	FALSE	FALSE	FALSE
Teff	FBXO44	-0.138	1.679	0.933	0.353	FALSE	FALSE	FALSE	FALSE
Teff	FBXO6	0.187	0.689	0.92	0.719	FALSE	FALSE	FALSE	FALSE
Teff	MAD2L2	-0.02	0.91	0.99	0.538	FALSE	FALSE	FALSE	FALSE
Teff	AGTRAP	0.14	0.877	0.933	0.517	FALSE	FALSE	FALSE	FALSE
Teff	MTHFR	0.263	-1.716	0.781	0.274	FALSE	FALSE	FALSE	FALSE
Teff	CLCN6	-0.281	-1.182	0.92	0.449	FALSE	FALSE	FALSE	FALSE
Teff	KIAA2013	-0.32	1.564	0.605	0.326	FALSE	FALSE	FALSE	FALSE
Teff	MFN2	0.034	0.285	0.987	0.849	FALSE	FALSE	FALSE	FALSE
Teff	MIIP	-0.089	1.979	0.963	0.216	FALSE	FALSE	FALSE	FALSE
Teff	TNFRSF1B	-0.041	1.964	0.98	0.084	FALSE	FALSE	FALSE	FALSE
Teff	VPS13D	-0.129	-0.994	0.886	0.371	FALSE	FALSE	FALSE	FALSE
Teff	DHRS3	0.681	0.105	0.745	0.948	FALSE	FALSE	FALSE	FALSE
Teff	PRDM2	0.025	-0.109	0.986	0.914	FALSE	FALSE	FALSE	FALSE
Teff	EFHD2	-0.189	1.342	0.848	0.387	FALSE	FALSE	FALSE	FALSE
Teff	CASP9	-0.41	0.56	0.719	0.728	FALSE	FALSE	FALSE	FALSE
Teff	DNAJC16	-0.059	-0.56	0.969	0.66	FALSE	FALSE	FALSE	FALSE
Teff	AGMAT	-0.045	-1.301	0.994	0.445	FALSE	FALSE	FALSE	FALSE
Teff	DDI2	-0.004	-0.507	0.999	0.618	FALSE	FALSE	FALSE	FALSE
Teff	PLEKHM2	0.025	0.755	0.99	0.661	FALSE	FALSE	FALSE	FALSE
Teff	UQCRHL	-1.521	1.199	0.475	0.219	FALSE	FALSE	FALSE	FALSE
