gene	CellType	log2FoldChange_il17	padj_il17	log2FoldChange_il23	padj_il23	significant_il23	significant_il17	radar_gene	pv50_gene
A1BG	Teff	2.945	NA	-0.434	0.505	FALSE	NA	FALSE	FALSE
A1BG-AS1	Teff	3.371	0.545	-0.049	NA	NA	FALSE	FALSE	FALSE
A1CF	Teff	0.188	0.996	NA	NA	NA	FALSE	FALSE	FALSE
A2M	Teff	2.516	0.68	-1.585	NA	NA	FALSE	FALSE	FALSE
A2M-AS1	Teff	0.214	NA	-0.997	NA	NA	NA	FALSE	FALSE
A2ML1	Teff	-2.331	0.677	NA	NA	NA	FALSE	FALSE	FALSE
A2ML1-AS1	Teff	0.341	NA	NA	NA	NA	NA	FALSE	FALSE
A2ML1-AS2	Teff	1.85	NA	NA	NA	NA	NA	FALSE	FALSE
A3GALT2	Teff	1.323	NA	NA	NA	NA	NA	FALSE	FALSE
A4GALT	Teff	1.839	0.869	-2.012	NA	NA	FALSE	FALSE	FALSE
A4GNT	Teff	1.027	NA	NA	NA	NA	NA	FALSE	FALSE
AAAS	Teff	-1.359	0.799	0.671	NA	NA	FALSE	FALSE	FALSE
AACS	Teff	-1.352	0.849	0.522	NA	NA	FALSE	FALSE	FALSE
AADAC	Teff	0.511	NA	NA	NA	NA	NA	FALSE	FALSE
AADACL2	Teff	0.409	NA	NA	NA	NA	NA	FALSE	FALSE
AADACL2-AS1	Teff	-0.505	NA	NA	NA	NA	NA	FALSE	FALSE
AADACL3	Teff	2.564	0.896	NA	NA	NA	FALSE	FALSE	FALSE
AADACL4	Teff	0.391	NA	NA	NA	NA	NA	FALSE	FALSE
AADAT	Teff	-1.062	0.994	NA	NA	NA	FALSE	FALSE	FALSE
AAED1	Teff	0.966	0.927	-0.013	NA	NA	FALSE	FALSE	FALSE
AAGAB	Teff	-0.689	0.99	-0.562	NA	NA	FALSE	FALSE	FALSE
AAK1	Teff	0.427	0.996	-0.138	0.905	FALSE	FALSE	FALSE	FALSE
AAMDC	Teff	-0.976	0.933	-0.262	NA	NA	FALSE	FALSE	FALSE
AAMP	Teff	-0.849	0.978	-0.13	NA	NA	FALSE	FALSE	FALSE
AANAT	Teff	3.582	0.386	NA	NA	NA	FALSE	FALSE	FALSE
AAR2	Teff	-2.422	0.673	0.004	NA	NA	FALSE	FALSE	FALSE
AARD	Teff	5.057	NA	-1.457	NA	NA	NA	FALSE	FALSE
AARS	Teff	-0.239	0.996	-0.395	NA	NA	FALSE	FALSE	FALSE
AARS2	Teff	1.22	0.969	0.315	NA	NA	FALSE	FALSE	FALSE
AARSD1	Teff	1.799	0.793	0.186	NA	NA	FALSE	FALSE	FALSE
AASDH	Teff	1.155	0.913	0.28	NA	NA	FALSE	FALSE	FALSE
AASDHPPT	Teff	0.43	0.996	0.191	NA	NA	FALSE	FALSE	FALSE
AASS	Teff	6.142	0.02	-1.534	NA	NA	TRUE	FALSE	FALSE
AATBC	Teff	1.39	0.986	-1.955	NA	NA	FALSE	FALSE	FALSE
AATF	Teff	0.228	0.996	-0.02	NA	NA	FALSE	FALSE	FALSE
AATK	Teff	1.037	0.992	-0.51	NA	NA	FALSE	FALSE	FALSE
ABALON	Teff	-0.777	NA	-1.297	NA	NA	NA	FALSE	FALSE
ABAT	Teff	2.192	0.561	-0.128	NA	NA	FALSE	FALSE	FALSE
ABCA1	Teff	0.609	0.996	0.149	NA	NA	FALSE	FALSE	FALSE
ABCA10	Teff	3.316	0.672	-1.375	NA	NA	FALSE	FALSE	FALSE
ABCA12	Teff	-2.743	0.619	NA	NA	NA	FALSE	FALSE	FALSE
ABCA13	Teff	-3.132	0.515	NA	NA	NA	FALSE	FALSE	FALSE
ABCA2	Teff	1.31	0.927	0.392	NA	NA	FALSE	FALSE	FALSE
ABCA3	Teff	0.857	0.986	0.114	NA	NA	FALSE	FALSE	FALSE
ABCA4	Teff	-2.368	0.794	NA	NA	NA	FALSE	FALSE	FALSE
ABCA5	Teff	1.881	0.645	0.186	NA	NA	FALSE	FALSE	FALSE
ABCA6	Teff	1.441	0.96	NA	NA	NA	FALSE	FALSE	FALSE
ABCA7	Teff	-1.336	0.853	-0.214	NA	NA	FALSE	FALSE	FALSE
ABCA8	Teff	-3.081	0.65	NA	NA	NA	FALSE	FALSE	FALSE
ABCA9	Teff	1.164	0.986	NA	NA	NA	FALSE	FALSE	FALSE
ABCA9-AS1	Teff	1.068	NA	NA	NA	NA	NA	FALSE	FALSE
ABCB1	Teff	3.75	0.149	-1.925	NA	NA	FALSE	FALSE	FALSE
ABCB10	Teff	0.143	0.996	0.388	NA	NA	FALSE	FALSE	FALSE
ABCB11	Teff	2.209	0.893	NA	NA	NA	FALSE	FALSE	FALSE
ABCB4	Teff	1.852	0.939	NA	NA	NA	FALSE	FALSE	FALSE
ABCB5	Teff	-1.12	0.982	NA	NA	NA	FALSE	FALSE	FALSE
ABCB6	Teff	1.215	NA	-0.963	NA	NA	NA	FALSE	FALSE
ABCB7	Teff	1.282	0.96	0.339	NA	NA	FALSE	FALSE	FALSE
ABCB8	Teff	-2.489	0.561	-0.495	NA	NA	FALSE	FALSE	FALSE
ABCB9	Teff	2.679	0.636	0.158	NA	NA	FALSE	FALSE	FALSE
ABCC1	Teff	0.535	0.994	0.728	NA	NA	FALSE	FALSE	FALSE
ABCC10	Teff	0.703	0.993	0.023	NA	NA	FALSE	FALSE	FALSE
ABCC11	Teff	-1.235	0.98	NA	NA	NA	FALSE	FALSE	FALSE
ABCC12	Teff	1.559	0.969	NA	NA	NA	FALSE	FALSE	FALSE
ABCC2	Teff	-0.732	0.994	-1.362	NA	NA	FALSE	FALSE	FALSE
ABCC3	Teff	-0.263	0.996	NA	NA	NA	FALSE	FALSE	FALSE
ABCC4	Teff	3.994	0.233	0.591	NA	NA	FALSE	FALSE	FALSE
ABCC5	Teff	2.013	0.646	0.077	NA	NA	FALSE	FALSE	FALSE
ABCC5-AS1	Teff	1.44	NA	NA	NA	NA	NA	FALSE	FALSE
ABCC6	Teff	-2.546	0.654	-1.932	NA	NA	FALSE	FALSE	FALSE
ABCC8	Teff	1.541	0.938	NA	NA	NA	FALSE	FALSE	FALSE
ABCC9	Teff	0.011	0.999	-3.84	NA	NA	FALSE	FALSE	FALSE
ABCD1	Teff	1.165	0.986	0.749	NA	NA	FALSE	FALSE	FALSE
ABCD2	Teff	5.217	0.024	-0.404	NA	NA	TRUE	FALSE	FALSE
ABCD3	Teff	-0.013	0.998	-0.004	NA	NA	FALSE	FALSE	FALSE
ABCD4	Teff	0.792	0.98	0.421	NA	NA	FALSE	FALSE	FALSE
ABCE1	Teff	0.625	0.981	0.24	NA	NA	FALSE	FALSE	FALSE
ABCF1	Teff	-0.837	0.962	-0.168	0.927	FALSE	FALSE	FALSE	FALSE
ABCF2	Teff	-0.632	0.993	-0.575	NA	NA	FALSE	FALSE	FALSE
ABCF3	Teff	-0.918	0.981	0.012	NA	NA	FALSE	FALSE	FALSE
ABCG1	Teff	0.268	0.996	0.622	NA	NA	FALSE	FALSE	FALSE
ABCG2	Teff	6.848	0.025	-0.652	NA	NA	TRUE	FALSE	FALSE
ABCG4	Teff	2.814	0.794	NA	NA	NA	FALSE	FALSE	FALSE
ABCG5	Teff	1.4	0.969	-3.231	NA	NA	FALSE	FALSE	FALSE
ABCG8	Teff	0.096	0.997	-0.148	NA	NA	FALSE	FALSE	FALSE
ABHD1	Teff	1.963	0.909	-0.15	NA	NA	FALSE	FALSE	FALSE
ABHD10	Teff	-0.515	0.996	-0.65	NA	NA	FALSE	FALSE	FALSE
ABHD11	Teff	2.427	0.531	0.39	NA	NA	FALSE	FALSE	FALSE
ABHD12	Teff	0.614	0.993	-0.266	NA	NA	FALSE	FALSE	FALSE
ABHD12B	Teff	-1.982	0.893	-2.83	NA	NA	FALSE	FALSE	FALSE
ABHD13	Teff	0.905	0.97	-0.245	NA	NA	FALSE	FALSE	FALSE
ABHD14A	Teff	-0.09	0.996	-0.071	NA	NA	FALSE	FALSE	FALSE
ABHD14A-ACY1	Teff	0.822	NA	0.074	NA	NA	NA	FALSE	FALSE
ABHD14B	Teff	-1.289	0.845	-0.127	NA	NA	FALSE	FALSE	FALSE
ABHD15	Teff	-1.014	0.939	0.031	NA	NA	FALSE	FALSE	FALSE
ABHD15-AS1	Teff	0.688	NA	-2.61	NA	NA	NA	FALSE	FALSE
ABHD16A	Teff	-1.951	0.819	-0.238	NA	NA	FALSE	FALSE	FALSE
ABHD16B	Teff	NA	NA	NA	NA	NA	NA	FALSE	FALSE
ABHD17A	Teff	-1.231	0.852	0.037	0.979	FALSE	FALSE	FALSE	FALSE
ABHD17B	Teff	0.665	0.986	0.202	NA	NA	FALSE	FALSE	FALSE
ABHD17C	Teff	0.906	0.994	-1.148	NA	NA	FALSE	FALSE	FALSE
ABHD18	Teff	1.36	0.852	0.305	NA	NA	FALSE	FALSE	FALSE
ABHD2	Teff	-0.491	0.996	-0.233	NA	NA	FALSE	FALSE	FALSE
ABHD3	Teff	0.287	0.996	0.042	NA	NA	FALSE	FALSE	FALSE
ABHD4	Teff	-2.651	0.39	-0.42	NA	NA	FALSE	FALSE	FALSE
ABHD5	Teff	1.931	0.691	0.263	NA	NA	FALSE	FALSE	FALSE
ABHD6	Teff	0.74	0.988	0.372	NA	NA	FALSE	FALSE	FALSE
ABHD8	Teff	0.64	0.996	-0.151	NA	NA	FALSE	FALSE	FALSE
ABI1	Teff	-0.092	0.996	-0.188	0.919	FALSE	FALSE	FALSE	FALSE
ABI2	Teff	2.725	0.419	0.323	NA	NA	FALSE	FALSE	FALSE
ABI3	Teff	-1.557	0.751	0.375	NA	NA	FALSE	FALSE	FALSE
ABI3BP	Teff	-0.333	0.996	-2.929	NA	NA	FALSE	FALSE	FALSE
ABL1	Teff	0.1	0.996	-0.449	NA	NA	FALSE	FALSE	FALSE
ABL2	Teff	1.563	0.692	0.053	NA	NA	FALSE	FALSE	FALSE
ABLIM1	Teff	0.405	0.996	-0.155	0.952	FALSE	FALSE	FALSE	FALSE
ABLIM2	Teff	1.328	0.875	0.224	NA	NA	FALSE	FALSE	FALSE
ABLIM3	Teff	1.149	0.989	-2.932	NA	NA	FALSE	FALSE	FALSE
ABO	Teff	1.761	0.939	-1.204	NA	NA	FALSE	FALSE	FALSE
ABR	Teff	-0.862	0.974	-0.202	NA	NA	FALSE	FALSE	FALSE
ABRA	Teff	-0.908	0.995	-1.769	NA	NA	FALSE	FALSE	FALSE
ABRACL	Teff	-0.156	0.996	-0.181	0.877	FALSE	FALSE	FALSE	FALSE
ABT1	Teff	-1.452	0.816	0.031	0.99	FALSE	FALSE	FALSE	FALSE
ABTB1	Teff	-1.012	0.946	0.027	NA	NA	FALSE	FALSE	FALSE
ABTB2	Teff	-1.227	0.986	-1.61	NA	NA	FALSE	FALSE	FALSE
AC000067.1	Teff	1.588	NA	NA	NA	NA	NA	FALSE	FALSE
AC000099.1	Teff	1.04	NA	NA	NA	NA	NA	FALSE	FALSE
AC000124.1	Teff	0.341	NA	NA	NA	NA	NA	FALSE	FALSE
AC002066.1	Teff	-0.969	NA	NA	NA	NA	NA	FALSE	FALSE
AC002127.2	Teff	-0.327	NA	NA	NA	NA	NA	FALSE	FALSE
AC002306.1	Teff	4.589	0.099	-0.818	NA	NA	FALSE	FALSE	FALSE
AC002386.1	Teff	0.34	NA	NA	NA	NA	NA	FALSE	FALSE
AC002401.1	Teff	0.337	NA	NA	NA	NA	NA	FALSE	FALSE
AC002454.1	Teff	0.34	NA	-2.83	NA	NA	NA	FALSE	FALSE
AC002480.2	Teff	5.477	0.08	-2.61	NA	NA	FALSE	FALSE	FALSE
AC002480.3	Teff	2.393	NA	NA	NA	NA	NA	FALSE	FALSE
AC002480.4	Teff	0.341	NA	NA	NA	NA	NA	FALSE	FALSE
AC002511.2	Teff	0.349	NA	NA	NA	NA	NA	FALSE	FALSE
AC003005.2	Teff	1.293	NA	NA	NA	NA	NA	FALSE	FALSE
AC003009.1	Teff	0.341	NA	NA	NA	NA	NA	FALSE	FALSE
AC003092.1	Teff	0.368	NA	NA	NA	NA	NA	FALSE	FALSE
AC003092.2	Teff	0.34	NA	NA	NA	NA	NA	FALSE	FALSE
AC003956.1	Teff	-0.208	NA	-2.641	NA	NA	NA	FALSE	FALSE
AC003958.2	Teff	1.129	0.996	NA	NA	NA	FALSE	FALSE	FALSE
AC003973.1	Teff	NA	NA	NA	NA	NA	NA	FALSE	FALSE
AC003984.1	Teff	0.99	NA	NA	NA	NA	NA	FALSE	FALSE
AC003985.1	Teff	0.34	NA	NA	NA	NA	NA	FALSE	FALSE
AC003988.1	Teff	0.34	NA	NA	NA	NA	NA	FALSE	FALSE
AC004009.1	Teff	0.339	NA	NA	NA	NA	NA	FALSE	FALSE
AC004012.1	Teff	0.354	NA	NA	NA	NA	NA	FALSE	FALSE
AC004053.1	Teff	1.156	NA	NA	NA	NA	NA	FALSE	FALSE
AC004054.1	Teff	0.339	NA	NA	NA	NA	NA	FALSE	FALSE
AC004063.1	Teff	0.341	NA	NA	NA	NA	NA	FALSE	FALSE
AC004066.2	Teff	0.993	NA	NA	NA	NA	NA	FALSE	FALSE
AC004069.1	Teff	0.97	NA	-0.738	NA	NA	NA	FALSE	FALSE
AC004158.1	Teff	-0.213	NA	-1.629	NA	NA	NA	FALSE	FALSE
AC004257.1	Teff	0.968	NA	NA	NA	NA	NA	FALSE	FALSE
AC004448.2	Teff	1.261	NA	NA	NA	NA	NA	FALSE	FALSE
AC004490.1	Teff	0.306	NA	-3.498	NA	NA	NA	FALSE	FALSE
AC004593.3	Teff	0.337	NA	NA	NA	NA	NA	FALSE	FALSE
AC004637.1	Teff	0.341	NA	NA	NA	NA	NA	FALSE	FALSE
AC004824.1	Teff	0.338	NA	NA	NA	NA	NA	FALSE	FALSE
AC004837.3	Teff	NA	NA	NA	NA	NA	NA	FALSE	FALSE
AC004869.2	Teff	0.336	NA	NA	NA	NA	NA	FALSE	FALSE
AC004870.3	Teff	0.34	NA	NA	NA	NA	NA	FALSE	FALSE
AC004870.4	Teff	0.357	NA	NA	NA	NA	NA	FALSE	FALSE
AC004988.1	Teff	-1.009	NA	NA	NA	NA	NA	FALSE	FALSE
AC005008.2	Teff	1.294	NA	NA	NA	NA	NA	FALSE	FALSE
AC005009.1	Teff	1.711	NA	NA	NA	NA	NA	FALSE	FALSE
AC005009.2	Teff	-1.32	NA	NA	NA	NA	NA	FALSE	FALSE
AC005019.2	Teff	0.988	NA	NA	NA	NA	NA	FALSE	FALSE
AC005034.2	Teff	0.333	NA	NA	NA	NA	NA	FALSE	FALSE
AC005042.2	Teff	1.818	0.971	NA	NA	NA	FALSE	FALSE	FALSE
AC005086.1	Teff	0.711	NA	NA	NA	NA	NA	FALSE	FALSE
AC005150.1	Teff	0.34	NA	NA	NA	NA	NA	FALSE	FALSE
AC005154.6	Teff	1.454	0.754	NA	NA	NA	FALSE	FALSE	FALSE
AC005224.2	Teff	3.609	NA	NA	NA	NA	NA	FALSE	FALSE
AC005253.2	Teff	0.447	NA	NA	NA	NA	NA	FALSE	FALSE
AC005256.1	Teff	0.339	NA	NA	NA	NA	NA	FALSE	FALSE
AC005262.2	Teff	NA	NA	NA	NA	NA	NA	FALSE	FALSE
AC005281.1	Teff	0.79	0.996	NA	NA	NA	FALSE	FALSE	FALSE
AC005304.1	Teff	1.57	NA	-2.578	NA	NA	NA	FALSE	FALSE
AC005307.1	Teff	0.673	NA	NA	NA	NA	NA	FALSE	FALSE
AC005355.1	Teff	1.021	NA	NA	NA	NA	NA	FALSE	FALSE
AC005387.2	Teff	0.341	NA	NA	NA	NA	NA	FALSE	FALSE
AC005394.1	Teff	0.336	NA	NA	NA	NA	NA	FALSE	FALSE
AC005480.1	Teff	0.828	NA	0.369	NA	NA	NA	FALSE	FALSE
AC005498.3	Teff	1.924	NA	-0.216	NA	NA	NA	FALSE	FALSE
AC005523.2	Teff	NA	NA	-0.5	NA	NA	NA	FALSE	FALSE
AC005592.1	Teff	0.392	NA	NA	NA	NA	NA	FALSE	FALSE
AC005597.1	Teff	0.339	NA	NA	NA	NA	NA	FALSE	FALSE
AC005609.2	Teff	0.106	NA	NA	NA	NA	NA	FALSE	FALSE
AC005616.1	Teff	-0.447	NA	-2.641	NA	NA	NA	FALSE	FALSE
AC005625.1	Teff	NA	NA	-2.61	NA	NA	NA	FALSE	FALSE
AC005703.2	Teff	0.34	NA	NA	NA	NA	NA	FALSE	FALSE
AC005703.3	Teff	0.38	NA	NA	NA	NA	NA	FALSE	FALSE
AC005730.2	Teff	0.339	NA	-2.641	NA	NA	NA	FALSE	FALSE
AC005740.3	Teff	0.34	NA	NA	NA	NA	NA	FALSE	FALSE
AC005740.4	Teff	-0.552	NA	-2.578	NA	NA	NA	FALSE	FALSE
AC005753.1	Teff	-1.038	NA	NA	NA	NA	NA	FALSE	FALSE
AC005779.2	Teff	0.97	NA	-2.626	NA	NA	NA	FALSE	FALSE
AC005786.3	Teff	0.337	NA	NA	NA	NA	NA	FALSE	FALSE
AC005838.2	Teff	NA	NA	-0.193	NA	NA	NA	FALSE	FALSE
AC005863.1	Teff	-0.292	NA	NA	NA	NA	NA	FALSE	FALSE
AC006004.1	Teff	-0.405	NA	NA	NA	NA	NA	FALSE	FALSE
AC006007.1	Teff	0.328	NA	NA	NA	NA	NA	FALSE	FALSE
AC006019.3	Teff	2.308	NA	NA	NA	NA	NA	FALSE	FALSE
AC006041.1	Teff	0.966	NA	NA	NA	NA	NA	FALSE	FALSE
AC006076.1	Teff	0.341	NA	NA	NA	NA	NA	FALSE	FALSE
AC006150.1	Teff	0.341	NA	NA	NA	NA	NA	FALSE	FALSE
AC006296.1	Teff	-0.301	NA	NA	NA	NA	NA	FALSE	FALSE
AC006296.2	Teff	0.341	NA	NA	NA	NA	NA	FALSE	FALSE
AC006369.2	Teff	-0.257	0.996	NA	NA	NA	FALSE	FALSE	FALSE
AC006449.2	Teff	NA	NA	-0.113	NA	NA	NA	FALSE	FALSE
AC006482.1	Teff	0.34	NA	NA	NA	NA	NA	FALSE	FALSE
AC007009.1	Teff	NA	NA	NA	NA	NA	NA	FALSE	FALSE
AC007091.1	Teff	-0.236	NA	NA	NA	NA	NA	FALSE	FALSE
AC007099.1	Teff	-0.149	NA	NA	NA	NA	NA	FALSE	FALSE
AC007099.2	Teff	0.328	NA	NA	NA	NA	NA	FALSE	FALSE
AC007106.1	Teff	0.34	NA	NA	NA	NA	NA	FALSE	FALSE
AC007126.1	Teff	-0.139	0.997	NA	NA	NA	FALSE	FALSE	FALSE
AC007128.1	Teff	0.36	NA	NA	NA	NA	NA	FALSE	FALSE
AC007163.1	Teff	-0.37	NA	-2.641	NA	NA	NA	FALSE	FALSE
AC007179.1	Teff	0.341	NA	NA	NA	NA	NA	FALSE	FALSE
AC007292.3	Teff	-0.385	NA	NA	NA	NA	NA	FALSE	FALSE
AC007319.1	Teff	-0.363	NA	NA	NA	NA	NA	FALSE	FALSE
AC007347.1	Teff	NA	NA	NA	NA	NA	NA	FALSE	FALSE
AC007349.4	Teff	1.004	NA	-3.458	NA	NA	NA	FALSE	FALSE
AC007364.1	Teff	-0.902	0.996	-2.323	NA	NA	FALSE	FALSE	FALSE
AC007365.1	Teff	-1.679	0.967	-1.955	NA	NA	FALSE	FALSE	FALSE
AC007383.3	Teff	0.242	0.996	-1.945	NA	NA	FALSE	FALSE	FALSE
AC007389.3	Teff	0.127	NA	NA	NA	NA	NA	FALSE	FALSE
AC007422.1	Teff	-0.484	NA	NA	NA	NA	NA	FALSE	FALSE
AC007491.1	Teff	-2.721	0.819	NA	NA	NA	FALSE	FALSE	FALSE
AC007557.1	Teff	0.106	NA	NA	NA	NA	NA	FALSE	FALSE
AC007557.2	Teff	-1.412	NA	NA	NA	NA	NA	FALSE	FALSE
AC007557.3	Teff	0.341	NA	NA	NA	NA	NA	FALSE	FALSE
AC007557.4	Teff	0.984	NA	NA	NA	NA	NA	FALSE	FALSE
AC007563.1	Teff	-0.362	NA	NA	NA	NA	NA	FALSE	FALSE
AC007620.3	Teff	NA	NA	-2.042	NA	NA	NA	FALSE	FALSE
AC007631.1	Teff	0.333	NA	NA	NA	NA	NA	FALSE	FALSE
AC007652.1	Teff	0.428	NA	NA	NA	NA	NA	FALSE	FALSE
AC007679.1	Teff	0.345	NA	-3.498	NA	NA	NA	FALSE	FALSE
AC007731.1	Teff	0.379	NA	NA	NA	NA	NA	FALSE	FALSE
AC007743.1	Teff	-1.528	0.979	-2.615	NA	NA	FALSE	FALSE	FALSE
AC007795.1	Teff	-0.74	NA	NA	NA	NA	NA	FALSE	FALSE
AC007879.1	Teff	0.359	NA	NA	NA	NA	NA	FALSE	FALSE
AC007879.2	Teff	1.394	NA	-2.641	NA	NA	NA	FALSE	FALSE
AC007879.3	Teff	0.34	NA	NA	NA	NA	NA	FALSE	FALSE
AC007879.4	Teff	0.34	NA	NA	NA	NA	NA	FALSE	FALSE
AC007948.1	Teff	0.313	NA	NA	NA	NA	NA	FALSE	FALSE
AC007950.1	Teff	2.654	0.848	-2.641	NA	NA	FALSE	FALSE	FALSE
AC007950.2	Teff	2.155	0.91	0.074	NA	NA	FALSE	FALSE	FALSE
AC007952.4	Teff	0.106	NA	0.672	NA	NA	NA	FALSE	FALSE
AC007952.5	Teff	-0.275	NA	-3.076	NA	NA	NA	FALSE	FALSE
AC007952.6	Teff	NA	NA	-2.105	NA	NA	NA	FALSE	FALSE
AC007966.1	Teff	-0.205	NA	NA	NA	NA	NA	FALSE	FALSE
AC008063.2	Teff	4.045	NA	NA	NA	NA	NA	FALSE	FALSE
AC008074.1	Teff	3.98	NA	NA	NA	NA	NA	FALSE	FALSE
AC008074.3	Teff	-0.44	NA	0.452	NA	NA	NA	FALSE	FALSE
AC008175.1	Teff	0.106	NA	NA	NA	NA	NA	FALSE	FALSE
AC008268.1	Teff	1.628	NA	NA	NA	NA	NA	FALSE	FALSE
AC008269.2	Teff	0.341	NA	-2.615	NA	NA	NA	FALSE	FALSE
AC008277.1	Teff	0.335	NA	NA	NA	NA	NA	FALSE	FALSE
AC008278.2	Teff	0.979	NA	NA	NA	NA	NA	FALSE	FALSE
AC008280.3	Teff	NA	NA	-1.311	NA	NA	NA	FALSE	FALSE
AC008522.1	Teff	0.106	NA	-0.983	NA	NA	NA	FALSE	FALSE
AC008592.4	Teff	1.236	NA	NA	NA	NA	NA	FALSE	FALSE
AC008592.5	Teff	0.341	NA	-2.641	NA	NA	NA	FALSE	FALSE
AC008641.1	Teff	0.34	NA	NA	NA	NA	NA	FALSE	FALSE
AC008686.1	Teff	1.166	NA	-0.348	NA	NA	NA	FALSE	FALSE
AC008691.1	Teff	-0.096	NA	-2.189	NA	NA	NA	FALSE	FALSE
AC008703.1	Teff	-0.257	0.996	NA	NA	NA	FALSE	FALSE	FALSE
AC008753.3	Teff	-0.37	NA	NA	NA	NA	NA	FALSE	FALSE
AC008914.1	Teff	-0.548	NA	-2.137	NA	NA	NA	FALSE	FALSE
AC008937.2	Teff	2.725	NA	-2.617	NA	NA	NA	FALSE	FALSE
AC008937.3	Teff	5.06	NA	-1.626	NA	NA	NA	FALSE	FALSE
AC008940.1	Teff	0.341	NA	NA	NA	NA	NA	FALSE	FALSE
AC008991.1	Teff	-0.363	NA	NA	NA	NA	NA	FALSE	FALSE
AC008992.1	Teff	0.338	NA	NA	NA	NA	NA	FALSE	FALSE
AC009060.1	Teff	0.328	NA	-3.532	NA	NA	NA	FALSE	FALSE
AC009065.1	Teff	NA	NA	-2.641	NA	NA	NA	FALSE	FALSE
AC009110.1	Teff	0.34	NA	NA	NA	NA	NA	FALSE	FALSE
AC009120.3	Teff	2.79	NA	NA	NA	NA	NA	FALSE	FALSE
AC009120.4	Teff	0.734	0.996	-2.641	NA	NA	FALSE	FALSE	FALSE
AC009120.5	Teff	2.839	NA	-1.998	NA	NA	NA	FALSE	FALSE
AC009121.1	Teff	NA	NA	NA	NA	NA	NA	FALSE	FALSE
AC009134.1	Teff	0.99	NA	NA	NA	NA	NA	FALSE	FALSE
AC009158.1	Teff	0.711	NA	NA	NA	NA	NA	FALSE	FALSE
AC009227.2	Teff	0.338	NA	NA	NA	NA	NA	FALSE	FALSE
AC009228.1	Teff	1.115	NA	-2.641	NA	NA	NA	FALSE	FALSE
AC009237.14	Teff	NA	NA	-1.748	NA	NA	NA	FALSE	FALSE
AC009264.1	Teff	2.798	0.616	NA	NA	NA	FALSE	FALSE	FALSE
AC009299.3	Teff	3.587	NA	-2.217	NA	NA	NA	FALSE	FALSE
AC009303.2	Teff	1.809	0.963	-3.097	NA	NA	FALSE	FALSE	FALSE
AC009303.3	Teff	0.34	NA	-2.83	NA	NA	NA	FALSE	FALSE
AC009305.1	Teff	0.648	NA	NA	NA	NA	NA	FALSE	FALSE
AC009312.1	Teff	1.392	NA	-2.641	NA	NA	NA	FALSE	FALSE
AC009313.1	Teff	1.658	NA	NA	NA	NA	NA	FALSE	FALSE
AC009411.1	Teff	0.341	NA	NA	NA	NA	NA	FALSE	FALSE
AC009411.2	Teff	0.341	NA	NA	NA	NA	NA	FALSE	FALSE
AC009478.1	Teff	-0.513	NA	NA	NA	NA	NA	FALSE	FALSE
AC009495.2	Teff	2.455	NA	-2.61	NA	NA	NA	FALSE	FALSE
AC009495.3	Teff	-0.514	NA	-2.578	NA	NA	NA	FALSE	FALSE
AC009498.1	Teff	0.373	NA	NA	NA	NA	NA	FALSE	FALSE
AC009502.1	Teff	0.351	NA	-2.641	NA	NA	NA	FALSE	FALSE
AC009506.1	Teff	0.34	NA	-2.453	NA	NA	NA	FALSE	FALSE
AC009950.1	Teff	NA	NA	-0.61	NA	NA	NA	FALSE	FALSE
AC009965.1	Teff	0.34	NA	NA	NA	NA	NA	FALSE	FALSE
AC009970.1	Teff	0.34	NA	NA	NA	NA	NA	FALSE	FALSE
AC010096.1	Teff	-1.236	NA	NA	NA	NA	NA	FALSE	FALSE
AC010105.1	Teff	-0.33	NA	NA	NA	NA	NA	FALSE	FALSE
AC010240.3	Teff	-1.495	NA	-2.027	NA	NA	NA	FALSE	FALSE
AC010468.2	Teff	5.713	0.031	-2.352	NA	NA	TRUE	FALSE	FALSE
AC010522.1	Teff	0.266	NA	-2.641	NA	NA	NA	FALSE	FALSE
AC010641.1	Teff	-1.808	NA	NA	NA	NA	NA	FALSE	FALSE
AC010642.2	Teff	0.341	NA	-0.657	NA	NA	NA	FALSE	FALSE
AC010649.1	Teff	-0.746	0.996	NA	NA	NA	FALSE	FALSE	FALSE
AC010723.1	Teff	NA	NA	NA	NA	NA	NA	FALSE	FALSE
AC010729.1	Teff	0.341	NA	NA	NA	NA	NA	FALSE	FALSE
AC010731.2	Teff	0.339	NA	NA	NA	NA	NA	FALSE	FALSE
AC010731.3	Teff	0.341	NA	NA	NA	NA	NA	FALSE	FALSE
AC010745.1	Teff	0.337	NA	NA	NA	NA	NA	FALSE	FALSE
AC010745.2	Teff	0.988	NA	NA	NA	NA	NA	FALSE	FALSE
AC010745.3	Teff	-0.363	NA	NA	NA	NA	NA	FALSE	FALSE
AC010745.4	Teff	2.47	NA	NA	NA	NA	NA	FALSE	FALSE
AC010761.6	Teff	0.98	NA	NA	NA	NA	NA	FALSE	FALSE
AC010880.1	Teff	-0.421	NA	NA	NA	NA	NA	FALSE	FALSE
AC010884.1	Teff	2.934	NA	-2.61	NA	NA	NA	FALSE	FALSE
AC010890.1	Teff	-0.206	NA	NA	NA	NA	NA	FALSE	FALSE
AC010894.3	Teff	-1.389	NA	-2.453	NA	NA	NA	FALSE	FALSE
AC010894.4	Teff	-0.536	NA	-2.61	NA	NA	NA	FALSE	FALSE
AC010907.2	Teff	-0.569	NA	-2.641	NA	NA	NA	FALSE	FALSE
